ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
AAPL,2014,0.6251,0.4384,,,,,
AAPL,2015,0.6468,0.4738,0.6251,,,,
AAPL,2016,0.5443,0.5427,0.6468,0.6251,,,
AAPL,2017,0.6172,0.4971,0.5443,0.6468,0.6251,,
AAPL,2018,0.5039,0.5137,0.6172,0.5443,0.6468,0.6251,
AAPL,2019,0.5922,0.5332,0.5039,0.6172,0.5443,0.6468,0.6251
AAPL,2020,0.5884,0.507,0.5922,0.5039,0.6172,0.5443,0.6468
AAPL,2021,0.5227,0.4838,0.5884,0.5922,0.5039,0.6172,0.5443
AAPL,2022,0.5942,0.4663,0.5227,0.5884,0.5922,0.5039,0.6172
AAPL,2023,0.6121,0.5987,0.5942,0.5227,0.5884,0.5922,0.5039
ABBV,2014,0.3666,0.3784,,,,,
ABBV,2015,0.3389,0.3607,0.3666,,,,
ABBV,2016,0.2926,0.2393,0.3389,0.3666,,,
ABBV,2017,0.3188,0.5154,0.2926,0.3389,0.3666,,
ABBV,2018,0.3051,0.1946,0.3188,0.2926,0.3389,0.3666,
ABBV,2019,0.3625,0.3862,0.3051,0.3188,0.2926,0.3389,0.3666
ABBV,2020,0.3594,0.2928,0.3625,0.3051,0.3188,0.2926,0.3389
ABBV,2021,0.3176,0.3373,0.3594,0.3625,0.3051,0.3188,0.2926
ABBV,2022,0.3419,0.4082,0.3176,0.3594,0.3625,0.3051,0.3188
ABBV,2023,0.418,0.235,0.3419,0.3176,0.3594,0.3625,0.3051
ABT,2014,0.5299,0.3564,,,,,
ABT,2015,0.346,0.3403,0.5299,,,,
ABT,2016,0.3625,0.3427,0.346,0.5299,,,
ABT,2017,0.4002,0.4295,0.3625,0.346,0.5299,,
ABT,2018,0.5818,0.4747,0.4002,0.3625,0.346,0.5299,
ABT,2019,0.4673,0.5474,0.5818,0.4002,0.3625,0.346,0.5299
ABT,2020,0.4019,0.3935,0.4673,0.5818,0.4002,0.3625,0.346
ABT,2021,0.4794,0.3772,0.4019,0.4673,0.5818,0.4002,0.3625
ABT,2022,0.3817,0.4226,0.4794,0.4019,0.4673,0.5818,0.4002
ABT,2023,0.4275,0.4208,0.3817,0.4794,0.4019,0.4673,0.5818
ACN,2014,0.7707,0.6308,,,,,
ACN,2015,0.723,0.566,0.7707,,,,
ACN,2016,0.7646,0.4523,0.723,0.7707,,,
ACN,2017,0.7957,0.5936,0.7646,0.723,0.7707,,
ACN,2018,0.7347,0.6825,0.7957,0.7646,0.723,0.7707,
ACN,2019,0.7729,0.752,0.7347,0.7957,0.7646,0.723,0.7707
ACN,2020,0.7999,0.4535,0.7729,0.7347,0.7957,0.7646,0.723
ACN,2021,0.7989,0.4968,0.7999,0.7729,0.7347,0.7957,0.7646
ACN,2022,0.7963,0.5224,0.7989,0.7999,0.7729,0.7347,0.7957
ACN,2023,0.7647,0.5547,0.7963,0.7989,0.7999,0.7729,0.7347
ADBE,2014,0.501,0.4084,,,,,
ADBE,2015,0.5009,0.412,0.501,,,,
ADBE,2016,0.5188,0.2758,0.5009,0.501,,,
ADBE,2017,0.5665,0.3627,0.5188,0.5009,0.501,,
ADBE,2018,0.5882,0.5319,0.5665,0.5188,0.5009,0.501,
ADBE,2019,0.6031,0.4429,0.5882,0.5665,0.5188,0.5009,0.501
ADBE,2020,0.5616,0.4492,0.6031,0.5882,0.5665,0.5188,0.5009
ADBE,2021,0.5235,0.4567,0.5616,0.6031,0.5882,0.5665,0.5188
ADBE,2022,0.5496,0.5222,0.5235,0.5616,0.6031,0.5882,0.5665
ADBE,2023,0.5049,0.4524,0.5496,0.5235,0.5616,0.6031,0.5882
ADI,2014,0.5164,0.3763,,,,,
ADI,2015,0.5863,0.325,0.5164,,,,
ADI,2016,0.5863,0.404,0.5863,0.5164,,,
ADI,2017,0.4836,0.5592,0.5863,0.5863,0.5164,,
ADI,2018,0.5315,0.4724,0.4836,0.5863,0.5863,0.5164,
ADI,2019,0.5135,0.5058,0.5315,0.4836,0.5863,0.5863,0.5164
ADI,2020,0.4897,0.3266,0.5135,0.5315,0.4836,0.5863,0.5863
ADI,2021,0.4085,0.3374,0.4897,0.5135,0.5315,0.4836,0.5863
ADI,2022,0.5805,0.3913,0.4085,0.4897,0.5135,0.5315,0.4836
ADI,2023,0.4119,0.3313,0.5805,0.4085,0.4897,0.5135,0.5315
ADP,2014,0.6121,0.5491,,,,,
ADP,2015,0.5307,0.4856,0.6121,,,,
ADP,2016,0.4247,0.508,0.5307,0.6121,,,
ADP,2017,0.5308,0.5241,0.4247,0.5307,0.6121,,
ADP,2018,0.5558,0.4797,0.5308,0.4247,0.5307,0.6121,
ADP,2019,0.5658,0.4955,0.5558,0.5308,0.4247,0.5307,0.6121
ADP,2020,0.5158,0.5285,0.5658,0.5558,0.5308,0.4247,0.5307
ADP,2021,0.5377,0.4965,0.5158,0.5658,0.5558,0.5308,0.4247
ADP,2022,0.5552,0.4984,0.5377,0.5158,0.5658,0.5558,0.5308
ADP,2023,0.5258,0.5197,0.5552,0.5377,0.5158,0.5658,0.5558
AMAT,2014,0.5235,0.4267,,,,,
AMAT,2015,0.4498,0.4403,0.5235,,,,
AMAT,2016,0.4493,0.4622,0.4498,0.5235,,,
AMAT,2017,0.6328,0.3812,0.4493,0.4498,0.5235,,
AMAT,2018,0.373,0.5052,0.6328,0.4493,0.4498,0.5235,
AMAT,2019,0.4849,0.5004,0.373,0.6328,0.4493,0.4498,0.5235
AMAT,2020,0.5287,0.5754,0.4849,0.373,0.6328,0.4493,0.4498
AMAT,2021,0.5255,0.4716,0.5287,0.4849,0.373,0.6328,0.4493
AMAT,2022,0.466,0.4326,0.5255,0.5287,0.4849,0.373,0.6328
AMAT,2023,0.5766,0.4463,0.466,0.5255,0.5287,0.4849,0.373
AMD,2014,0.625,0.4253,,,,,
AMD,2015,0.6172,0.3339,0.625,,,,
AMD,2016,0.6538,0.4451,0.6172,0.625,,,
AMD,2017,0.6134,0.5039,0.6538,0.6172,0.625,,
AMD,2018,0.6119,0.4233,0.6134,0.6538,0.6172,0.625,
AMD,2019,0.5955,0.4124,0.6119,0.6134,0.6538,0.6172,0.625
AMD,2020,0.5924,0.4449,0.5955,0.6119,0.6134,0.6538,0.6172
AMD,2021,0.5026,0.4274,0.5924,0.5955,0.6119,0.6134,0.6538
AMD,2022,0.5623,0.4279,0.5026,0.5924,0.5955,0.6119,0.6134
AMD,2023,0.5875,0.4581,0.5623,0.5026,0.5924,0.5955,0.6119
AMGN,2014,0.4381,0.3184,,,,,
AMGN,2015,0.433,0.1948,0.4381,,,,
AMGN,2016,0.4176,0.4341,0.433,0.4381,,,
AMGN,2017,0.4551,0.3339,0.4176,0.433,0.4381,,
AMGN,2018,0.5401,0.3331,0.4551,0.4176,0.433,0.4381,
AMGN,2019,0.1811,0.1924,0.5401,0.4551,0.4176,0.433,0.4381
AMGN,2020,0.5556,0.3976,0.1811,0.5401,0.4551,0.4176,0.433
AMGN,2021,0.5416,0.4054,0.5556,0.1811,0.5401,0.4551,0.4176
AMGN,2022,0.5177,0.1923,0.5416,0.5556,0.1811,0.5401,0.4551
AMGN,2023,0.5847,0.3962,0.5177,0.5416,0.5556,0.1811,0.5401
AMZN,2014,0.5682,0.5305,,,,,
AMZN,2015,0.4892,0.5029,0.5682,,,,
AMZN,2016,0.5445,0.4943,0.4892,0.5682,,,
AMZN,2017,0.5381,0.4733,0.5445,0.4892,0.5682,,
AMZN,2018,0.5426,0.4886,0.5381,0.5445,0.4892,0.5682,
AMZN,2019,0.5162,0.4562,0.5426,0.5381,0.5445,0.4892,0.5682
AMZN,2020,0.5018,0.502,0.5162,0.5426,0.5381,0.5445,0.4892
AMZN,2021,0.502,0.4968,0.5018,0.5162,0.5426,0.5381,0.5445
AMZN,2022,0.4957,0.4589,0.502,0.5018,0.5162,0.5426,0.5381
AMZN,2023,0.5019,0.5163,0.4957,0.502,0.5018,0.5162,0.5426
ANET,2014,0.3318,0.3878,,,,,
ANET,2015,0.6107,0.4801,0.3318,,,,
ANET,2016,0.5365,0.4325,0.6107,0.3318,,,
ANET,2017,0.5027,0.4741,0.5365,0.6107,0.3318,,
ANET,2018,0.4737,0.4107,0.5027,0.5365,0.6107,0.3318,
ANET,2019,0.4968,0.4448,0.4737,0.5027,0.5365,0.6107,0.3318
ANET,2020,0.4384,0.3923,0.4968,0.4737,0.5027,0.5365,0.6107
ANET,2021,0.4261,0.3775,0.4384,0.4968,0.4737,0.5027,0.5365
ANET,2022,0.4806,0.4302,0.4261,0.4384,0.4968,0.4737,0.5027
ANET,2023,0.4284,0.4171,0.4806,0.4261,0.4384,0.4968,0.4737
BA,2014,0.3924,0.4551,,,,,
BA,2015,0.3988,0.5001,0.3924,,,,
BA,2016,0.3325,0.3502,0.3988,0.3924,,,
BA,2017,0.3296,0.3865,0.3325,0.3988,0.3924,,
BA,2018,0.3989,0.3995,0.3296,0.3325,0.3988,0.3924,
BA,2019,0.4315,0.3894,0.3989,0.3296,0.3325,0.3988,0.3924
BA,2020,0.4276,0.3849,0.4315,0.3989,0.3296,0.3325,0.3988
BA,2021,0.327,0.4166,0.4276,0.4315,0.3989,0.3296,0.3325
BA,2022,0.4074,0.3837,0.327,0.4276,0.4315,0.3989,0.3296
BA,2023,0.4148,0.4023,0.4074,0.327,0.4276,0.4315,0.3989
BAC,2014,0.5664,0.5561,,,,,
BAC,2015,0.3806,0.4518,0.5664,,,,
BAC,2016,0.5845,0.5709,0.3806,0.5664,,,
BAC,2017,0.5683,0.5198,0.5845,0.3806,0.5664,,
BAC,2018,0.6288,0.5086,0.5683,0.5845,0.3806,0.5664,
BAC,2019,0.5636,0.5114,0.6288,0.5683,0.5845,0.3806,0.5664
BAC,2020,0.6435,0.6573,0.5636,0.6288,0.5683,0.5845,0.3806
BAC,2021,0.7047,0.5131,0.6435,0.5636,0.6288,0.5683,0.5845
BAC,2022,0.7484,0.5564,0.7047,0.6435,0.5636,0.6288,0.5683
BAC,2023,0.6138,0.7064,0.7484,0.7047,0.6435,0.5636,0.6288
BKNG,2014,0.8429,0.4622,,,,,
BKNG,2015,0.5958,0.3948,0.8429,,,,
BKNG,2016,0.4363,0.3804,0.5958,0.8429,,,
BKNG,2017,0.3748,0.4106,0.4363,0.5958,0.8429,,
BKNG,2018,0.3929,0.4257,0.3748,0.4363,0.5958,0.8429,
BKNG,2019,0.4416,0.4615,0.3929,0.3748,0.4363,0.5958,0.8429
BKNG,2020,0.3713,0.4422,0.4416,0.3929,0.3748,0.4363,0.5958
BKNG,2021,0.5042,0.4385,0.3713,0.4416,0.3929,0.3748,0.4363
BKNG,2022,0.5373,0.4674,0.5042,0.3713,0.4416,0.3929,0.3748
BKNG,2023,0.4502,0.4544,0.5373,0.5042,0.3713,0.4416,0.3929
BMY,2014,0.4473,0.1805,,,,,
BMY,2015,0.5,0.2783,0.4473,,,,
BMY,2016,0.5078,0.4433,0.5,0.4473,,,
BMY,2017,0.4978,0.2375,0.5078,0.5,0.4473,,
BMY,2018,0.503,0.2179,0.4978,0.5078,0.5,0.4473,
BMY,2019,0.5105,0.1728,0.503,0.4978,0.5078,0.5,0.4473
BMY,2020,0.5073,0.3575,0.5105,0.503,0.4978,0.5078,0.5
BMY,2021,0.4635,0.3223,0.5073,0.5105,0.503,0.4978,0.5078
BMY,2022,0.4513,0.2743,0.4635,0.5073,0.5105,0.503,0.4978
BMY,2023,0.4202,0.2285,0.4513,0.4635,0.5073,0.5105,0.503
BRK-B,2014,0.6485,0.5482,,,,,
BRK-B,2015,0.6604,0.4994,0.6485,,,,
BRK-B,2016,0.6042,0.5746,0.6604,0.6485,,,
BRK-B,2017,0.6724,0.5452,0.6042,0.6604,0.6485,,
BRK-B,2018,0.7041,0.5326,0.6724,0.6042,0.6604,0.6485,
BRK-B,2019,0.584,0.5253,0.7041,0.6724,0.6042,0.6604,0.6485
BRK-B,2020,0.5546,0.5354,0.584,0.7041,0.6724,0.6042,0.6604
BRK-B,2021,0.7121,0.6003,0.5546,0.584,0.7041,0.6724,0.6042
BRK-B,2022,0.5045,0.5592,0.7121,0.5546,0.584,0.7041,0.6724
BRK-B,2023,0.5948,0.5758,0.5045,0.7121,0.5546,0.584,0.7041
BSX,2014,0.4995,0.3097,,,,,
BSX,2015,0.4755,0.2329,0.4995,,,,
BSX,2016,0.4708,0.2659,0.4755,0.4995,,,
BSX,2017,0.3103,0.3421,0.4708,0.4755,0.4995,,
BSX,2018,0.4459,0.3531,0.3103,0.4708,0.4755,0.4995,
BSX,2019,0.4125,0.3624,0.4459,0.3103,0.4708,0.4755,0.4995
BSX,2020,0.4962,0.4046,0.4125,0.4459,0.3103,0.4708,0.4755
BSX,2021,0.5802,0.5034,0.4962,0.4125,0.4459,0.3103,0.4708
BSX,2022,0.6005,0.5011,0.5802,0.4962,0.4125,0.4459,0.3103
BSX,2023,0.6294,0.4067,0.6005,0.5802,0.4962,0.4125,0.4459
BX,2014,0.5383,0.5507,,,,,
BX,2015,0.5377,0.5468,0.5383,,,,
BX,2016,0.5217,0.4614,0.5377,0.5383,,,
BX,2017,0.4423,0.4811,0.5217,0.5377,0.5383,,
BX,2018,0.4175,0.4626,0.4423,0.5217,0.5377,0.5383,
BX,2019,0.4547,0.5058,0.4175,0.4423,0.5217,0.5377,0.5383
BX,2020,0.4876,0.3947,0.4547,0.4175,0.4423,0.5217,0.5377
BX,2021,0.474,0.43,0.4876,0.4547,0.4175,0.4423,0.5217
BX,2022,0.5049,0.4416,0.474,0.4876,0.4547,0.4175,0.4423
BX,2023,0.4609,0.4067,0.5049,0.474,0.4876,0.4547,0.4175
CB,2014,0.7835,0.6824,,,,,
CB,2015,0.8304,0.608,0.7835,,,,
CB,2016,0.7686,0.4172,0.8304,0.7835,,,
CB,2017,0.8035,0.8029,0.7686,0.8304,0.7835,,
CB,2018,0.7843,0.7805,0.8035,0.7686,0.8304,0.7835,
CB,2019,0.7756,0.769,0.7843,0.8035,0.7686,0.8304,0.7835
CB,2020,0.7646,0.4481,0.7756,0.7843,0.8035,0.7686,0.8304
CB,2021,0.7796,0.5258,0.7646,0.7756,0.7843,0.8035,0.7686
CB,2022,0.6159,0.7457,0.7796,0.7646,0.7756,0.7843,0.8035
CB,2023,0.7807,0.6814,0.6159,0.7796,0.7646,0.7756,0.7843
CMCSA,2014,0.3974,0.3546,,,,,
CMCSA,2015,0.4093,0.3308,0.3974,,,,
CMCSA,2016,0.4582,0.3232,0.4093,0.3974,,,
CMCSA,2017,0.4937,0.4212,0.4582,0.4093,0.3974,,
CMCSA,2018,0.4164,0.4532,0.4937,0.4582,0.4093,0.3974,
CMCSA,2019,0.5364,0.4736,0.4164,0.4937,0.4582,0.4093,0.3974
CMCSA,2020,0.5157,0.4562,0.5364,0.4164,0.4937,0.4582,0.4093
CMCSA,2021,0.5133,0.5476,0.5157,0.5364,0.4164,0.4937,0.4582
CMCSA,2022,0.5651,0.3968,0.5133,0.5157,0.5364,0.4164,0.4937
CMCSA,2023,0.498,0.4635,0.5651,0.5133,0.5157,0.5364,0.4164
COST,2014,0.6189,0.4144,,,,,
COST,2015,0.6063,0.4662,0.6189,,,,
COST,2016,0.3288,0.3195,0.6063,0.6189,,,
COST,2017,0.6339,0.4499,0.3288,0.6063,0.6189,,
COST,2018,0.6227,0.4129,0.6339,0.3288,0.6063,0.6189,
COST,2019,0.6335,0.4531,0.6227,0.6339,0.3288,0.6063,0.6189
COST,2020,0.6561,0.5083,0.6335,0.6227,0.6339,0.3288,0.6063
COST,2021,0.682,0.4623,0.6561,0.6335,0.6227,0.6339,0.3288
COST,2022,0.6783,0.4841,0.682,0.6561,0.6335,0.6227,0.6339
COST,2023,0.6937,0.5117,0.6783,0.682,0.6561,0.6335,0.6227
CRM,2014,0.5563,0.4878,,,,,
CRM,2015,0.4802,0.4365,0.5563,,,,
CRM,2016,0.5077,0.4063,0.4802,0.5563,,,
CRM,2017,0.6725,0.4831,0.5077,0.4802,0.5563,,
CRM,2018,0.5744,0.4629,0.6725,0.5077,0.4802,0.5563,
CRM,2019,0.6907,0.4632,0.5744,0.6725,0.5077,0.4802,0.5563
CRM,2020,0.5188,0.3859,0.6907,0.5744,0.6725,0.5077,0.4802
CRM,2021,0.6673,0.5631,0.5188,0.6907,0.5744,0.6725,0.5077
CRM,2022,0.5618,0.6803,0.6673,0.5188,0.6907,0.5744,0.6725
CRM,2023,0.5896,0.474,0.5618,0.6673,0.5188,0.6907,0.5744
CSCO,2014,0.4244,0.4423,,,,,
CSCO,2015,0.5148,0.4197,0.4244,,,,
CSCO,2016,0.5112,0.421,0.5148,0.4244,,,
CSCO,2017,0.4637,0.4366,0.5112,0.5148,0.4244,,
CSCO,2018,0.5141,0.6663,0.4637,0.5112,0.5148,0.4244,
CSCO,2019,0.6164,0.4687,0.5141,0.4637,0.5112,0.5148,0.4244
CSCO,2020,0.5484,0.4688,0.6164,0.5141,0.4637,0.5112,0.5148
CSCO,2021,0.5082,0.4657,0.5484,0.6164,0.5141,0.4637,0.5112
CSCO,2022,0.506,0.5162,0.5082,0.5484,0.6164,0.5141,0.4637
CSCO,2023,0.6396,0.4863,0.506,0.5082,0.5484,0.6164,0.5141
DHR,2014,0.4419,0.4973,,,,,
DHR,2015,0.5783,0.4707,0.4419,,,,
DHR,2016,0.6577,0.5226,0.5783,0.4419,,,
DHR,2017,0.6708,0.4927,0.6577,0.5783,0.4419,,
DHR,2018,0.6513,0.4414,0.6708,0.6577,0.5783,0.4419,
DHR,2019,0.8095,0.4826,0.6513,0.6708,0.6577,0.5783,0.4419
DHR,2020,0.6762,0.5347,0.8095,0.6513,0.6708,0.6577,0.5783
DHR,2021,0.5728,0.3714,0.6762,0.8095,0.6513,0.6708,0.6577
DHR,2022,0.6035,0.622,0.5728,0.6762,0.8095,0.6513,0.6708
DHR,2023,0.5598,0.4885,0.6035,0.5728,0.6762,0.8095,0.6513
FI,2014,0.5996,0.491,,,,,
FI,2015,0.5681,0.4935,0.5996,,,,
FI,2016,0.5512,0.4019,0.5681,0.5996,,,
FI,2017,0.5399,0.4438,0.5512,0.5681,0.5996,,
FI,2018,0.5828,0.4136,0.5399,0.5512,0.5681,0.5996,
FI,2019,0.4886,0.4834,0.5828,0.5399,0.5512,0.5681,0.5996
FI,2020,0.5625,0.4614,0.4886,0.5828,0.5399,0.5512,0.5681
FI,2021,0.4655,0.4151,0.5625,0.4886,0.5828,0.5399,0.5512
FI,2022,0.5125,0.4919,0.4655,0.5625,0.4886,0.5828,0.5399
FI,2023,0.5728,0.5138,0.5125,0.4655,0.5625,0.4886,0.5828
GILD,2014,0.3798,0.2336,,,,,
GILD,2015,0.4485,0.2056,0.3798,,,,
GILD,2016,0.4125,0.1907,0.4485,0.3798,,,
GILD,2017,0.3954,0.294,0.4125,0.4485,0.3798,,
GILD,2018,0.3804,0.3629,0.3954,0.4125,0.4485,0.3798,
GILD,2019,0.3505,0.3338,0.3804,0.3954,0.4125,0.4485,0.3798
GILD,2020,0.3697,0.4326,0.3505,0.3804,0.3954,0.4125,0.4485
GILD,2021,0.4498,0.3904,0.3697,0.3505,0.3804,0.3954,0.4125
GILD,2022,0.3183,0.2808,0.4498,0.3697,0.3505,0.3804,0.3954
GILD,2023,0.5571,0.3432,0.3183,0.4498,0.3697,0.3505,0.3804
GOOGL,2014,0.4845,0.4565,,,,,
GOOGL,2015,0.4937,0.4181,0.4845,,,,
GOOGL,2016,0.4368,0.634,0.4937,0.4845,,,
GOOGL,2017,0.5904,0.4825,0.4368,0.4937,0.4845,,
GOOGL,2018,0.5345,0.4508,0.5904,0.4368,0.4937,0.4845,
GOOGL,2019,0.6041,0.5178,0.5345,0.5904,0.4368,0.4937,0.4845
GOOGL,2020,0.5652,0.4658,0.6041,0.5345,0.5904,0.4368,0.4937
GOOGL,2021,0.6701,0.493,0.5652,0.6041,0.5345,0.5904,0.4368
GOOGL,2022,0.4871,0.466,0.6701,0.5652,0.6041,0.5345,0.5904
GOOGL,2023,0.5263,0.4397,0.4871,0.6701,0.5652,0.6041,0.5345
GS,2014,0.4977,0.5018,,,,,
GS,2015,0.4238,0.5431,0.4977,,,,
GS,2016,0.4882,0.4561,0.4238,0.4977,,,
GS,2017,0.4402,0.5063,0.4882,0.4238,0.4977,,
GS,2018,0.5342,0.5101,0.4402,0.4882,0.4238,0.4977,
GS,2019,0.5025,0.4945,0.5342,0.4402,0.4882,0.4238,0.4977
GS,2020,0.4801,0.5961,0.5025,0.5342,0.4402,0.4882,0.4238
GS,2021,0.4599,0.6428,0.4801,0.5025,0.5342,0.4402,0.4882
GS,2022,0.4762,0.602,0.4599,0.4801,0.5025,0.5342,0.4402
GS,2023,0.5003,0.4534,0.4762,0.4599,0.4801,0.5025,0.5342
HD,2014,0.5436,0.479,,,,,
HD,2015,0.5829,0.4595,0.5436,,,,
HD,2016,0.5698,0.4867,0.5829,0.5436,,,
HD,2017,0.5594,0.4644,0.5698,0.5829,0.5436,,
HD,2018,0.4891,0.6004,0.5594,0.5698,0.5829,0.5436,
HD,2019,0.5186,0.5333,0.4891,0.5594,0.5698,0.5829,0.5436
HD,2020,0.56,0.4466,0.5186,0.4891,0.5594,0.5698,0.5829
HD,2021,0.585,0.6481,0.56,0.5186,0.4891,0.5594,0.5698
HD,2022,0.546,0.5487,0.585,0.56,0.5186,0.4891,0.5594
HD,2023,0.5348,0.5816,0.546,0.585,0.56,0.5186,0.4891
INTU,2014,0.6365,0.4755,,,,,
INTU,2015,0.6061,0.4355,0.6365,,,,
INTU,2016,0.6205,0.446,0.6061,0.6365,,,
INTU,2017,0.5705,0.4307,0.6205,0.6061,0.6365,,
INTU,2018,0.652,0.4392,0.5705,0.6205,0.6061,0.6365,
INTU,2019,0.5692,0.5054,0.652,0.5705,0.6205,0.6061,0.6365
INTU,2020,0.6378,0.5083,0.5692,0.652,0.5705,0.6205,0.6061
INTU,2021,0.5314,0.4858,0.6378,0.5692,0.652,0.5705,0.6205
INTU,2022,0.6005,0.5623,0.5314,0.6378,0.5692,0.652,0.5705
INTU,2023,0.6031,0.5348,0.6005,0.5314,0.6378,0.5692,0.652
ISRG,2014,0.5343,0.3237,,,,,
ISRG,2015,0.6544,0.3461,0.5343,,,,
ISRG,2016,0.6009,0.4789,0.6544,0.5343,,,
ISRG,2017,0.5841,0.287,0.6009,0.6544,0.5343,,
ISRG,2018,0.6575,0.3618,0.5841,0.6009,0.6544,0.5343,
ISRG,2019,0.5847,0.3441,0.6575,0.5841,0.6009,0.6544,0.5343
ISRG,2020,0.6112,0.7226,0.5847,0.6575,0.5841,0.6009,0.6544
ISRG,2021,0.5981,0.3011,0.6112,0.5847,0.6575,0.5841,0.6009
ISRG,2022,0.6014,0.5239,0.5981,0.6112,0.5847,0.6575,0.5841
ISRG,2023,0.6572,0.3714,0.6014,0.5981,0.6112,0.5847,0.6575
KKR,2014,0.5181,0.5141,,,,,
KKR,2015,0.5187,0.4114,0.5181,,,,
KKR,2016,0.5482,0.4061,0.5187,0.5181,,,
KKR,2017,0.5445,0.3881,0.5482,0.5187,0.5181,,
KKR,2018,0.5409,0.4895,0.5445,0.5482,0.5187,0.5181,
KKR,2019,0.5739,0.4315,0.5409,0.5445,0.5482,0.5187,0.5181
KKR,2020,0.4791,0.4093,0.5739,0.5409,0.5445,0.5482,0.5187
KKR,2021,0.4839,0.4399,0.4791,0.5739,0.5409,0.5445,0.5482
KKR,2022,0.5276,0.4781,0.4839,0.4791,0.5739,0.5409,0.5445
KKR,2023,0.3608,0.5094,0.5276,0.4839,0.4791,0.5739,0.5409
KO,2014,0.3758,0.2945,,,,,
KO,2015,0.427,0.3488,0.3758,,,,
KO,2016,0.5948,0.3391,0.427,0.3758,,,
KO,2017,0.481,0.4644,0.5948,0.427,0.3758,,
KO,2018,0.4514,0.3508,0.481,0.5948,0.427,0.3758,
KO,2019,0.5426,0.5461,0.4514,0.481,0.5948,0.427,0.3758
KO,2020,0.5461,0.4818,0.5426,0.4514,0.481,0.5948,0.427
KO,2021,0.5286,0.5086,0.5461,0.5426,0.4514,0.481,0.5948
KO,2022,0.5324,0.3403,0.5286,0.5461,0.5426,0.4514,0.481
KO,2023,0.4455,0.5981,0.5324,0.5286,0.5461,0.5426,0.4514
LLY,2014,0.5028,0.1839,,,,,
LLY,2015,0.547,0.3617,0.5028,,,,
LLY,2016,0.5867,0.4352,0.547,0.5028,,,
LLY,2017,0.5313,0.2619,0.5867,0.547,0.5028,,
LLY,2018,0.5583,0.1767,0.5313,0.5867,0.547,0.5028,
LLY,2019,0.5992,0.2633,0.5583,0.5313,0.5867,0.547,0.5028
LLY,2020,0.5001,0.3151,0.5992,0.5583,0.5313,0.5867,0.547
LLY,2021,0.5774,0.2884,0.5001,0.5992,0.5583,0.5313,0.5867
LLY,2022,0.341,0.2508,0.5774,0.5001,0.5992,0.5583,0.5313
LLY,2023,0.5879,0.2359,0.341,0.5774,0.5001,0.5992,0.5583
LMT,2014,0.7067,0.34,,,,,
LMT,2015,0.5287,0.4131,0.7067,,,,
LMT,2016,0.4239,0.4103,0.5287,0.7067,,,
LMT,2017,0.4503,0.3786,0.4239,0.5287,0.7067,,
LMT,2018,0.4163,0.4929,0.4503,0.4239,0.5287,0.7067,
LMT,2019,0.3137,0.2339,0.4163,0.4503,0.4239,0.5287,0.7067
