ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
AAPL,2014,0.5446,0.5602,,,,,
AAPL,2015,0.7046,0.5656,0.5446,,,,
AAPL,2016,0.4905,0.6126,0.7046,0.5446,,,
AAPL,2017,0.5506,0.4617,0.4905,0.7046,0.5446,,
AAPL,2018,0.613,0.5031,0.5506,0.4905,0.7046,0.5446,
AAPL,2019,0.6234,0.5851,0.613,0.5506,0.4905,0.7046,0.5446
AAPL,2020,0.6084,0.5596,0.6234,0.613,0.5506,0.4905,0.7046
AAPL,2021,0.5579,0.478,0.6084,0.6234,0.613,0.5506,0.4905
AAPL,2022,0.5038,0.6091,0.5579,0.6084,0.6234,0.613,0.5506
AAPL,2023,0.5437,0.5488,0.5038,0.5579,0.6084,0.6234,0.613
ABBV,2014,0.3559,0.3682,,,,,
ABBV,2015,0.2869,0.4334,0.3559,,,,
ABBV,2016,0.359,0.5282,0.2869,0.3559,,,
ABBV,2017,0.3009,0.4502,0.359,0.2869,0.3559,,
ABBV,2018,0.3734,0.225,0.3009,0.359,0.2869,0.3559,
ABBV,2019,0.3845,0.1966,0.3734,0.3009,0.359,0.2869,0.3559
ABBV,2020,0.3154,0.2992,0.3845,0.3734,0.3009,0.359,0.2869
ABBV,2021,0.33,0.3268,0.3154,0.3845,0.3734,0.3009,0.359
ABBV,2022,0.3484,0.2487,0.33,0.3154,0.3845,0.3734,0.3009
ABBV,2023,0.3902,0.4242,0.3484,0.33,0.3154,0.3845,0.3734
ABT,2014,0.4093,0.3467,,,,,
ABT,2015,0.6583,0.3467,0.4093,,,,
ABT,2016,0.429,0.2838,0.6583,0.4093,,,
ABT,2017,0.4766,0.5028,0.429,0.6583,0.4093,,
ABT,2018,0.3416,0.5516,0.4766,0.429,0.6583,0.4093,
ABT,2019,0.4631,0.4103,0.3416,0.4766,0.429,0.6583,0.4093
ABT,2020,0.4184,0.3602,0.4631,0.3416,0.4766,0.429,0.6583
ABT,2021,0.3476,0.4294,0.4184,0.4631,0.3416,0.4766,0.429
ABT,2022,0.3925,0.4973,0.3476,0.4184,0.4631,0.3416,0.4766
ABT,2023,0.3954,0.4165,0.3925,0.3476,0.4184,0.4631,0.3416
ACN,2014,0.8486,0.7752,,,,,
ACN,2015,0.7841,0.7706,0.8486,,,,
ACN,2016,0.7689,0.475,0.7841,0.8486,,,
ACN,2017,0.7238,0.5347,0.7689,0.7841,0.8486,,
ACN,2018,0.7623,0.5103,0.7238,0.7689,0.7841,0.8486,
ACN,2019,0.7516,0.7208,0.7623,0.7238,0.7689,0.7841,0.8486
ACN,2020,0.8149,0.4427,0.7516,0.7623,0.7238,0.7689,0.7841
ACN,2021,0.7731,0.4547,0.8149,0.7516,0.7623,0.7238,0.7689
ACN,2022,0.7527,0.4558,0.7731,0.8149,0.7516,0.7623,0.7238
ACN,2023,0.6991,0.7866,0.7527,0.7731,0.8149,0.7516,0.7623
ADBE,2014,0.5379,0.5869,,,,,
ADBE,2015,0.4961,0.4335,0.5379,,,,
ADBE,2016,0.4678,0.3647,0.4961,0.5379,,,
ADBE,2017,0.4973,0.4236,0.4678,0.4961,0.5379,,
ADBE,2018,0.5786,0.4086,0.4973,0.4678,0.4961,0.5379,
ADBE,2019,0.5819,0.4149,0.5786,0.4973,0.4678,0.4961,0.5379
ADBE,2020,0.5176,0.4491,0.5819,0.5786,0.4973,0.4678,0.4961
ADBE,2021,0.5151,0.4146,0.5176,0.5819,0.5786,0.4973,0.4678
ADBE,2022,0.5552,0.428,0.5151,0.5176,0.5819,0.5786,0.4973
ADBE,2023,0.4762,0.5626,0.5552,0.5151,0.5176,0.5819,0.5786
ADI,2014,0.5757,0.3482,,,,,
ADI,2015,0.5916,0.4287,0.5757,,,,
ADI,2016,0.4418,0.3928,0.5916,0.5757,,,
ADI,2017,0.5753,0.3562,0.4418,0.5916,0.5757,,
ADI,2018,0.5432,0.4251,0.5753,0.4418,0.5916,0.5757,
ADI,2019,0.574,0.4491,0.5432,0.5753,0.4418,0.5916,0.5757
ADI,2020,0.4692,0.4017,0.574,0.5432,0.5753,0.4418,0.5916
ADI,2021,0.4787,0.3396,0.4692,0.574,0.5432,0.5753,0.4418
ADI,2022,0.7129,0.5141,0.4787,0.4692,0.574,0.5432,0.5753
ADI,2023,0.8421,0.5683,0.7129,0.4787,0.4692,0.574,0.5432
ADP,2014,0.4686,0.5056,,,,,
ADP,2015,0.5597,0.5213,0.4686,,,,
ADP,2016,0.4995,0.5045,0.5597,0.4686,,,
ADP,2017,0.4777,0.4139,0.4995,0.5597,0.4686,,
ADP,2018,0.4575,0.4967,0.4777,0.4995,0.5597,0.4686,
ADP,2019,0.5642,0.493,0.4575,0.4777,0.4995,0.5597,0.4686
ADP,2020,0.5295,0.5383,0.5642,0.4575,0.4777,0.4995,0.5597
ADP,2021,0.492,0.4818,0.5295,0.5642,0.4575,0.4777,0.4995
ADP,2022,0.5019,0.5111,0.492,0.5295,0.5642,0.4575,0.4777
ADP,2023,0.5119,0.5446,0.5019,0.492,0.5295,0.5642,0.4575
AMAT,2014,0.4228,0.4624,,,,,
AMAT,2015,0.3713,0.4957,0.4228,,,,
AMAT,2016,0.4928,0.4814,0.3713,0.4228,,,
AMAT,2017,0.4771,0.5634,0.4928,0.3713,0.4228,,
AMAT,2018,0.5702,0.5444,0.4771,0.4928,0.3713,0.4228,
AMAT,2019,0.4595,0.4684,0.5702,0.4771,0.4928,0.3713,0.4228
AMAT,2020,0.5095,0.4853,0.4595,0.5702,0.4771,0.4928,0.3713
AMAT,2021,0.516,0.4731,0.5095,0.4595,0.5702,0.4771,0.4928
AMAT,2022,0.5229,0.4454,0.516,0.5095,0.4595,0.5702,0.4771
AMAT,2023,0.4214,0.4552,0.5229,0.516,0.5095,0.4595,0.5702
AMD,2014,0.644,0.4476,,,,,
AMD,2015,0.581,0.5192,0.644,,,,
AMD,2016,0.6202,0.3829,0.581,0.644,,,
AMD,2017,0.6534,0.2843,0.6202,0.581,0.644,,
AMD,2018,0.6147,0.3479,0.6534,0.6202,0.581,0.644,
AMD,2019,0.644,0.3881,0.6147,0.6534,0.6202,0.581,0.644
AMD,2020,0.5546,0.4002,0.644,0.6147,0.6534,0.6202,0.581
AMD,2021,0.5201,0.378,0.5546,0.644,0.6147,0.6534,0.6202
AMD,2022,0.5873,0.3796,0.5201,0.5546,0.644,0.6147,0.6534
AMD,2023,0.5363,0.4507,0.5873,0.5201,0.5546,0.644,0.6147
AMGN,2014,0.4939,0.1869,,,,,
AMGN,2015,0.4279,0.1957,0.4939,,,,
AMGN,2016,0.4176,0.3204,0.4279,0.4939,,,
AMGN,2017,0.4685,0.2831,0.4176,0.4279,0.4939,,
AMGN,2018,0.4874,0.2489,0.4685,0.4176,0.4279,0.4939,
AMGN,2019,0.3085,0.2042,0.4874,0.4685,0.4176,0.4279,0.4939
