,ticker,year,IT_similarity,OR_similarity,IT_growth,OR_growth,Revenues,Net Income,Sector,Industry,Marketcap,IT_growth_lag1,IT_growth_lag2,IT_growth_lag3,IT_growth_lag4,IT_growth_lag5
0,AAPL,2014,0.5446,0.5602,,,182795000000.0,39510000000.0,Technology,Consumer Electronics,3846819807232,,,,,
1,AAPL,2015,0.7046,0.5656,0.29379360998898285,0.009639414494823306,233715000000.0,53394000000.0,Technology,Consumer Electronics,3846819807232,,,,,
2,AAPL,2016,0.4905,0.6126,-0.30386034629577063,0.08309759547383311,215639000000.0,45687000000.0,Technology,Consumer Electronics,3846819807232,0.29379360998898285,,,,
3,AAPL,2017,0.5506,0.4617,0.12252803261977574,-0.24632713026444664,229234000000.0,48351000000.0,Technology,Consumer Electronics,3846819807232,-0.30386034629577063,0.29379360998898285,,,
4,AAPL,2018,0.613,0.5031,0.1133309117326553,0.08966861598440534,265595000000.0,59531000000.0,Technology,Consumer Electronics,3846819807232,0.12252803261977574,-0.30386034629577063,0.29379360998898285,,
5,AAPL,2019,0.6234,0.5851,0.016965742251223492,0.16298946531504654,260174000000.0,55256000000.0,Technology,Consumer Electronics,3846819807232,0.1133309117326553,0.12252803261977574,-0.30386034629577063,0.29379360998898285,
6,AAPL,2020,0.6084,0.5596,-0.024061597690086423,-0.04358229362502131,274515000000.0,57411000000.0,Technology,Consumer Electronics,3846819807232,0.016965742251223492,0.1133309117326553,0.12252803261977574,-0.30386034629577063,0.29379360998898285
7,AAPL,2021,0.5579,0.478,-0.08300460223537165,-0.14581844174410297,365817000000.0,94680000000.0,Technology,Consumer Electronics,3846819807232,-0.024061597690086423,0.016965742251223492,0.1133309117326553,0.12252803261977574,-0.30386034629577063
8,AAPL,2022,0.5038,0.6091,-0.09697078329449704,0.2742677824267783,394328000000.0,99803000000.0,Technology,Consumer Electronics,3846819807232,-0.08300460223537165,-0.024061597690086423,0.016965742251223492,0.1133309117326553,0.12252803261977574
9,AAPL,2023,0.5437,0.5488,0.07919809448193704,-0.09899852241011331,383285000000.0,96995000000.0,Technology,Consumer Electronics,3846819807232,-0.09697078329449704,-0.08300460223537165,-0.024061597690086423,0.016965742251223492,0.1133309117326553
10,ABBV,2014,0.3559,0.3682,,,19960000000.0,1774000000.0,Healthcare,Drug Manufacturers - General,310274424832,,,,,
11,ABBV,2015,0.2869,0.4334,-0.19387468389997187,0.1770776751765344,22859000000.0,5144000000.0,Healthcare,Drug Manufacturers - General,310274424832,,,,,
12,ABBV,2016,0.359,0.5282,0.2513070756361102,0.21873557914167052,25638000000.0,5953000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.19387468389997187,,,,
13,ABBV,2017,0.3009,0.4502,-0.16183844011142057,-0.1476713366149186,28216000000.0,5309000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.2513070756361102,-0.19387468389997187,,,
14,ABBV,2018,0.3734,0.225,0.24094383516118323,-0.5002221235006663,32753000000.0,5687000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.16183844011142057,0.2513070756361102,-0.19387468389997187,,
15,ABBV,2019,0.3845,0.1966,0.029726834493840393,-0.12622222222222224,33266000000.0,7882000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.24094383516118323,-0.16183844011142057,0.2513070756361102,-0.19387468389997187,
16,ABBV,2020,0.3154,0.2992,-0.1797139141742523,0.5218718209562565,45804000000.0,4616000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.029726834493840393,0.24094383516118323,-0.16183844011142057,0.2513070756361102,-0.19387468389997187
17,ABBV,2021,0.33,0.3268,0.04629042485732393,0.09224598930481265,56197000000.0,11542000000.0,Healthcare,Drug Manufacturers - General,310274424832,-0.1797139141742523,0.029726834493840393,0.24094383516118323,-0.16183844011142057,0.2513070756361102
18,ABBV,2022,0.3484,0.2487,0.05575757575757567,-0.23898408812729488,58054000000.0,11836000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.04629042485732393,-0.1797139141742523,0.029726834493840393,0.24094383516118323,-0.16183844011142057
19,ABBV,2023,0.3902,0.4242,0.1199770378874856,0.7056694813027744,54318000000.0,4863000000.0,Healthcare,Drug Manufacturers - General,310274424832,0.05575757575757567,0.04629042485732393,-0.1797139141742523,0.029726834493840393,0.24094383516118323
20,ABT,2014,0.4093,0.3467,,,20247000000.0,2284000000.0,Healthcare,Medical Devices,198127370240,,,,,
21,ABT,2015,0.6583,0.3467,0.6083557292939163,0.0,20405000000.0,4423000000.0,Healthcare,Medical Devices,198127370240,,,,,
22,ABT,2016,0.429,0.2838,-0.34832143399665805,-0.1814248629939429,20853000000.0,1400000000.0,Healthcare,Medical Devices,198127370240,0.6083557292939163,,,,
23,ABT,2017,0.4766,0.5028,0.1109557109557111,0.7716701902748415,27390000000.0,477000000.0,Healthcare,Medical Devices,198127370240,-0.34832143399665805,0.6083557292939163,,,
24,ABT,2018,0.3416,0.5516,-0.2832563994964331,0.09705648369132835,30578000000.0,2368000000.0,Healthcare,Medical Devices,198127370240,0.1109557109557111,-0.34832143399665805,0.6083557292939163,,
25,ABT,2019,0.4631,0.4103,0.35567915690866503,-0.2561638868745467,31904000000.0,3687000000.0,Healthcare,Medical Devices,198127370240,-0.2832563994964331,0.1109557109557111,-0.34832143399665805,0.6083557292939163,
26,ABT,2020,0.4184,0.3602,-0.09652342906499678,-0.12210577626127217,34608000000.0,4495000000.0,Healthcare,Medical Devices,198127370240,0.35567915690866503,-0.2832563994964331,0.1109557109557111,-0.34832143399665805,0.6083557292939163
27,ABT,2021,0.3476,0.4294,-0.1692160611854684,0.19211549139367023,43075000000.0,7071000000.0,Healthcare,Medical Devices,198127370240,-0.09652342906499678,0.35567915690866503,-0.2832563994964331,0.1109557109557111,-0.34832143399665805
28,ABT,2022,0.3925,0.4973,0.1291714614499424,0.15812761993479274,43653000000.0,6933000000.0,Healthcare,Medical Devices,198127370240,-0.1692160611854684,-0.09652342906499678,0.35567915690866503,-0.2832563994964331,0.1109557109557111
29,ABT,2023,0.3954,0.4165,0.007388535031846999,-0.1624773778403379,40109000000.0,5723000000.0,Healthcare,Medical Devices,198127370240,0.1291714614499424,-0.1692160611854684,-0.09652342906499678,0.35567915690866503,-0.2832563994964331
30,ADBE,2014,0.5379,0.5869,,,4147065000.0,268395000.0,Technology,Software - Infrastructure,196844240896,,,,,
31,ADBE,2015,0.4961,0.4335,-0.07770961145194288,-0.26137331743056735,4795511000.0,629551000.0,Technology,Software - Infrastructure,196844240896,,,,,
32,ADBE,2016,0.4678,0.3647,-0.05704495061479542,-0.1587081891580161,5854430000.0,1168782000.0,Technology,Software - Infrastructure,196844240896,-0.07770961145194288,,,,
