,ticker,year,IT,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
0,AAPL,2014,0.6251,0.4384,,,,,
1,AAPL,2015,0.6468,0.4738,0.6251,,,,
2,AAPL,2016,0.5443,0.5427,0.6468,0.6251,,,
3,AAPL,2017,0.6172,0.4971,0.5443,0.6468,0.6251,,
4,AAPL,2018,0.5039,0.5137,0.6172,0.5443,0.6468,0.6251,
5,AAPL,2019,0.5922,0.5332,0.5039,0.6172,0.5443,0.6468,0.6251
6,AAPL,2020,0.5884,0.507,0.5922,0.5039,0.6172,0.5443,0.6468
7,AAPL,2021,0.5227,0.4838,0.5884,0.5922,0.5039,0.6172,0.5443
8,AAPL,2022,0.5942,0.4663,0.5227,0.5884,0.5922,0.5039,0.6172
9,AAPL,2023,0.6121,0.5987,0.5942,0.5227,0.5884,0.5922,0.5039
10,ABBV,2014,0.3666,0.3784,,,,,
11,ABBV,2015,0.3389,0.3607,0.3666,,,,
12,ABBV,2016,0.2926,0.2393,0.3389,0.3666,,,
13,ABBV,2017,0.3188,0.5154,0.2926,0.3389,0.3666,,
14,ABBV,2018,0.3051,0.1946,0.3188,0.2926,0.3389,0.3666,
15,ABBV,2019,0.3625,0.3862,0.3051,0.3188,0.2926,0.3389,0.3666
16,ABBV,2020,0.3594,0.2928,0.3625,0.3051,0.3188,0.2926,0.3389
17,ABBV,2021,0.3176,0.3373,0.3594,0.3625,0.3051,0.3188,0.2926
18,ABBV,2022,0.3419,0.4082,0.3176,0.3594,0.3625,0.3051,0.3188
19,ABBV,2023,0.418,0.235,0.3419,0.3176,0.3594,0.3625,0.3051
20,ABT,2014,0.5299,0.3564,,,,,
21,ABT,2015,0.346,0.3403,0.5299,,,,
22,ABT,2016,0.3625,0.3427,0.346,0.5299,,,
23,ABT,2017,0.4002,0.4295,0.3625,0.346,0.5299,,
24,ABT,2018,0.5818,0.4747,0.4002,0.3625,0.346,0.5299,
25,ABT,2019,0.4673,0.5474,0.5818,0.4002,0.3625,0.346,0.5299
26,ABT,2020,0.4019,0.3935,0.4673,0.5818,0.4002,0.3625,0.346
27,ABT,2021,0.4794,0.3772,0.4019,0.4673,0.5818,0.4002,0.3625
28,ABT,2022,0.3817,0.4226,0.4794,0.4019,0.4673,0.5818,0.4002
29,ABT,2023,0.4275,0.4208,0.3817,0.4794,0.4019,0.4673,0.5818
30,ADBE,2014,0.501,0.4084,,,,,
31,ADBE,2015,0.5009,0.412,0.501,,,,
32,ADBE,2016,0.5188,0.2758,0.5009,0.501,,,
33,ADBE,2017,0.5665,0.3627,0.5188,0.5009,0.501,,
34,ADBE,2018,0.5882,0.5319,0.5665,0.5188,0.5009,0.501,
35,ADBE,2019,0.6031,0.4429,0.5882,0.5665,0.5188,0.5009,0.501
36,ADBE,2020,0.5616,0.4492,0.6031,0.5882,0.5665,0.5188,0.5009
37,ADBE,2021,0.5235,0.4567,0.5616,0.6031,0.5882,0.5665,0.5188
38,ADBE,2022,0.5496,0.5222,0.5235,0.5616,0.6031,0.5882,0.5665
39,ADBE,2023,0.5049,0.4524,0.5496,0.5235,0.5616,0.6031,0.5882
40,ADI,2014,0.5164,0.3763,,,,,
41,ADI,2015,0.5863,0.325,0.5164,,,,
