,ticker,year,IT,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
0,AAPL,2014,0.5446,0.5602,,,,,
1,AAPL,2015,0.7046,0.5656,0.5446,,,,
2,AAPL,2016,0.4905,0.6126,0.7046,0.5446,,,
3,AAPL,2017,0.5506,0.4617,0.4905,0.7046,0.5446,,
4,AAPL,2018,0.613,0.5031,0.5506,0.4905,0.7046,0.5446,
5,AAPL,2019,0.6234,0.5851,0.613,0.5506,0.4905,0.7046,0.5446
6,AAPL,2020,0.6084,0.5596,0.6234,0.613,0.5506,0.4905,0.7046
7,AAPL,2021,0.5579,0.478,0.6084,0.6234,0.613,0.5506,0.4905
8,AAPL,2022,0.5038,0.6091,0.5579,0.6084,0.6234,0.613,0.5506
9,AAPL,2023,0.5437,0.5488,0.5038,0.5579,0.6084,0.6234,0.613
10,ABBV,2014,0.3559,0.3682,,,,,
11,ABBV,2015,0.2869,0.4334,0.3559,,,,
12,ABBV,2016,0.359,0.5282,0.2869,0.3559,,,
13,ABBV,2017,0.3009,0.4502,0.359,0.2869,0.3559,,
14,ABBV,2018,0.3734,0.225,0.3009,0.359,0.2869,0.3559,
15,ABBV,2019,0.3845,0.1966,0.3734,0.3009,0.359,0.2869,0.3559
16,ABBV,2020,0.3154,0.2992,0.3845,0.3734,0.3009,0.359,0.2869
17,ABBV,2021,0.33,0.3268,0.3154,0.3845,0.3734,0.3009,0.359
18,ABBV,2022,0.3484,0.2487,0.33,0.3154,0.3845,0.3734,0.3009
19,ABBV,2023,0.3902,0.4242,0.3484,0.33,0.3154,0.3845,0.3734
20,ABT,2014,0.4093,0.3467,,,,,
21,ABT,2015,0.6583,0.3467,0.4093,,,,
22,ABT,2016,0.429,0.2838,0.6583,0.4093,,,
23,ABT,2017,0.4766,0.5028,0.429,0.6583,0.4093,,
24,ABT,2018,0.3416,0.5516,0.4766,0.429,0.6583,0.4093,
25,ABT,2019,0.4631,0.4103,0.3416,0.4766,0.429,0.6583,0.4093
26,ABT,2020,0.4184,0.3602,0.4631,0.3416,0.4766,0.429,0.6583
27,ABT,2021,0.3476,0.4294,0.4184,0.4631,0.3416,0.4766,0.429
28,ABT,2022,0.3925,0.4973,0.3476,0.4184,0.4631,0.3416,0.4766
29,ABT,2023,0.3954,0.4165,0.3925,0.3476,0.4184,0.4631,0.3416
30,ADBE,2014,0.5379,0.5869,,,,,
31,ADBE,2015,0.4961,0.4335,0.5379,,,,
32,ADBE,2016,0.4678,0.3647,0.4961,0.5379,,,
33,ADBE,2017,0.4973,0.4236,0.4678,0.4961,0.5379,,
34,ADBE,2018,0.5786,0.4086,0.4973,0.4678,0.4961,0.5379,
35,ADBE,2019,0.5819,0.4149,0.5786,0.4973,0.4678,0.4961,0.5379
36,ADBE,2020,0.5176,0.4491,0.5819,0.5786,0.4973,0.4678,0.4961
37,ADBE,2021,0.5151,0.4146,0.5176,0.5819,0.5786,0.4973,0.4678
38,ADBE,2022,0.5552,0.428,0.5151,0.5176,0.5819,0.5786,0.4973
39,ADBE,2023,0.4762,0.5626,0.5552,0.5151,0.5176,0.5819,0.5786
40,ADI,2014,0.5757,0.3482,,,,,
41,ADI,2015,0.5916,0.4287,0.5757,,,,
42,ADI,2016,0.4418,0.3928,0.5916,0.5757,,,
43,ADI,2017,0.5753,0.3562,0.4418,0.5916,0.5757,,
44,ADI,2018,0.5432,0.4251,0.5753,0.4418,0.5916,0.5757,
45,ADI,2019,0.574,0.4491,0.5432,0.5753,0.4418,0.5916,0.5757
46,ADI,2020,0.4692,0.4017,0.574,0.5432,0.5753,0.4418,0.5916
