,ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
0,AAPL,2014,0.5428,0.5891,,,,,
1,AAPL,2015,0.476,0.4858,0.5428,,,,
2,AAPL,2016,0.4424,0.6352,0.476,0.5428,,,
3,AAPL,2017,0.4972,0.529,0.4424,0.476,0.5428,,
4,AAPL,2018,0.4393,0.5797,0.4972,0.4424,0.476,0.5428,
5,AAPL,2019,0.4483,0.4711,0.4393,0.4972,0.4424,0.476,0.5428
6,AAPL,2020,0.4198,0.5946,0.4483,0.4393,0.4972,0.4424,0.476
7,AAPL,2021,0.438,0.5244,0.4198,0.4483,0.4393,0.4972,0.4424
8,AAPL,2022,0.4737,0.5674,0.438,0.4198,0.4483,0.4393,0.4972
9,AAPL,2023,0.5103,0.4864,0.4737,0.438,0.4198,0.4483,0.4393
10,ABBV,2014,0.2461,0.3688,,,,,
11,ABBV,2015,0.262,0.3802,0.2461,,,,
12,ABBV,2016,0.3385,0.4163,0.262,0.2461,,,
13,ABBV,2017,0.3918,0.4504,0.3385,0.262,0.2461,,
14,ABBV,2018,0.252,0.2549,0.3918,0.3385,0.262,0.2461,
15,ABBV,2019,0.3333,0.4545,0.252,0.3918,0.3385,0.262,0.2461
16,ABBV,2020,0.2733,0.4111,0.3333,0.252,0.3918,0.3385,0.262
17,ABBV,2021,0.2924,0.4558,0.2733,0.3333,0.252,0.3918,0.3385
18,ABBV,2022,0.3216,0.2276,0.2924,0.2733,0.3333,0.252,0.3918
19,ABBV,2023,0.2848,0.5131,0.3216,0.2924,0.2733,0.3333,0.252
20,ABT,2014,0.2976,0.3661,,,,,
21,ABT,2015,0.3124,0.4846,0.2976,,,,
22,ABT,2016,0.3512,0.5874,0.3124,0.2976,,,
23,ABT,2017,0.4125,0.5321,0.3512,0.3124,0.2976,,
24,ABT,2018,0.4439,0.3958,0.4125,0.3512,0.3124,0.2976,
25,ABT,2019,0.3125,0.3611,0.4439,0.4125,0.3512,0.3124,0.2976
26,ABT,2020,0.3474,0.5933,0.3125,0.4439,0.4125,0.3512,0.3124
27,ABT,2021,0.4012,0.3943,0.3474,0.3125,0.4439,0.4125,0.3512
28,ABT,2022,0.3967,0.4866,0.4012,0.3474,0.3125,0.4439,0.4125
29,ABT,2023,0.3395,0.3781,0.3967,0.4012,0.3474,0.3125,0.4439
30,ACN,2014,0.5158,0.4448,,,,,
31,ACN,2015,0.5523,0.4763,0.5158,,,,
32,ACN,2016,0.5312,0.4849,0.5523,0.5158,,,
33,ACN,2017,0.5708,0.5317,0.5312,0.5523,0.5158,,
34,ACN,2018,0.5553,0.5748,0.5708,0.5312,0.5523,0.5158,
35,ACN,2019,0.5476,0.4257,0.5553,0.5708,0.5312,0.5523,0.5158
36,ACN,2020,0.4987,0.4474,0.5476,0.5553,0.5708,0.5312,0.5523
