,ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
0,AAPL,2014,0.5545,0.5834,,,,,
1,AAPL,2015,0.5569,0.4562,0.5545,,,,
2,AAPL,2016,0.4188,0.5119,0.5569,0.5545,,,
3,AAPL,2017,0.5643,0.4802,0.4188,0.5569,0.5545,,
4,AAPL,2018,0.5187,0.5656,0.5643,0.4188,0.5569,0.5545,
5,AAPL,2019,0.5826,0.4055,0.5187,0.5643,0.4188,0.5569,0.5545
6,AAPL,2020,0.5525,0.4356,0.5826,0.5187,0.5643,0.4188,0.5569
7,AAPL,2021,0.4314,0.3833,0.5525,0.5826,0.5187,0.5643,0.4188
8,AAPL,2022,0.4493,0.7005,0.4314,0.5525,0.5826,0.5187,0.5643
9,AAPL,2023,0.5414,0.5601,0.4493,0.4314,0.5525,0.5826,0.5187
10,ABBV,2014,0.5448,0.4726,,,,,
11,ABBV,2015,0.5014,0.3932,0.5448,,,,
12,ABBV,2016,0.4795,0.5316,0.5014,0.5448,,,
13,ABBV,2017,0.4666,0.3367,0.4795,0.5014,0.5448,,
14,ABBV,2018,0.3639,0.5572,0.4666,0.4795,0.5014,0.5448,
15,ABBV,2019,0.4943,0.3184,0.3639,0.4666,0.4795,0.5014,0.5448
16,ABBV,2020,0.3555,0.3381,0.4943,0.3639,0.4666,0.4795,0.5014
17,ABBV,2021,0.2904,0.3747,0.3555,0.4943,0.3639,0.4666,0.4795
18,ABBV,2022,0.1929,0.3651,0.2904,0.3555,0.4943,0.3639,0.4666
19,ABBV,2023,0.4613,0.3658,0.1929,0.2904,0.3555,0.4943,0.3639
20,ABT,2014,0.5802,0.3298,,,,,
21,ABT,2015,0.4673,0.3532,0.5802,,,,
22,ABT,2016,0.5045,0.4981,0.4673,0.5802,,,
23,ABT,2017,0.4262,0.4982,0.5045,0.4673,0.5802,,
24,ABT,2018,0.4014,0.6374,0.4262,0.5045,0.4673,0.5802,
25,ABT,2019,0.4845,0.2897,0.4014,0.4262,0.5045,0.4673,0.5802
26,ABT,2020,0.5849,0.5404,0.4845,0.4014,0.4262,0.5045,0.4673
