ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
AAPL,2014,0.5985,0.3458,,,,,
AAPL,2015,0.7925,0.3302,0.5985,,,,
AAPL,2016,0.4994,0.5334,0.7925,0.5985,,,
AAPL,2017,0.5116,0.4393,0.4994,0.7925,0.5985,,
AAPL,2018,0.4349,0.4379,0.5116,0.4994,0.7925,0.5985,
AAPL,2019,0.7255,0.3222,0.4349,0.5116,0.4994,0.7925,0.5985
AAPL,2020,0.3795,0.4066,0.7255,0.4349,0.5116,0.4994,0.7925
AAPL,2021,0.4673,0.3831,0.3795,0.7255,0.4349,0.5116,0.4994
AAPL,2022,0.5063,0.381,0.4673,0.3795,0.7255,0.4349,0.5116
AAPL,2023,0.799,0.3362,0.5063,0.4673,0.3795,0.7255,0.4349
ABBV,2014,0.2577,0.4748,,,,,
ABBV,2015,0.162,0.4669,0.2577,,,,
ABBV,2016,0.3182,0.2846,0.162,0.2577,,,
ABBV,2017,0.1775,0.4467,0.3182,0.162,0.2577,,
ABBV,2018,0.1632,0.4334,0.1775,0.3182,0.162,0.2577,
ABBV,2019,0.2947,0.2671,0.1632,0.1775,0.3182,0.162,0.2577
ABBV,2020,0.2032,0.3056,0.2947,0.1632,0.1775,0.3182,0.162
ABBV,2021,0.1876,0.3301,0.2032,0.2947,0.1632,0.1775,0.3182
ABBV,2022,0.1343,0.2312,0.1876,0.2032,0.2947,0.1632,0.1775
ABBV,2023,0.1657,0.3518,0.1343,0.1876,0.2032,0.2947,0.1632
ABT,2014,0.4738,0.469,,,,,
ABT,2015,0.3501,0.3916,0.4738,,,,
ABT,2016,0.4705,0.5661,0.3501,0.4738,,,
ABT,2017,0.5703,0.218,0.4705,0.3501,0.4738,,
ABT,2018,0.5142,0.2394,0.5703,0.4705,0.3501,0.4738,
ABT,2019,0.4042,0.4153,0.5142,0.5703,0.4705,0.3501,0.4738
ABT,2020,0.4845,0.3356,0.4042,0.5142,0.5703,0.4705,0.3501
ABT,2021,0.4661,0.3546,0.4845,0.4042,0.5142,0.5703,0.4705
ABT,2022,0.516,0.3633,0.4661,0.4845,0.4042,0.5142,0.5703
ABT,2023,0.4839,0.3976,0.516,0.4661,0.4845,0.4042,0.5142
ACN,2014,0.8122,0.444,,,,,
ACN,2015,0.8584,0.4473,0.8122,,,,
ACN,2016,0.7405,0.4726,0.8584,0.8122,,,
ACN,2017,0.7959,0.4677,0.7405,0.8584,0.8122,,
ACN,2018,0.7699,0.6846,0.7959,0.7405,0.8584,0.8122,
ACN,2019,0.7061,0.7426,0.7699,0.7959,0.7405,0.8584,0.8122
ACN,2020,0.7702,0.6004,0.7061,0.7699,0.7959,0.7405,0.8584
ACN,2021,0.6971,0.7098,0.7702,0.7061,0.7699,0.7959,0.7405
ACN,2022,0.7506,0.6849,0.6971,0.7702,0.7061,0.7699,0.7959
ACN,2023,0.6973,0.7229,0.7506,0.6971,0.7702,0.7061,0.7699
ADBE,2014,0.4212,0.6841,,,,,
ADBE,2015,0.5772,0.4371,0.4212,,,,
ADBE,2016,0.4363,0.2459,0.5772,0.4212,,,
ADBE,2017,0.4584,0.2525,0.4363,0.5772,0.4212,,
ADBE,2018,0.4704,0.3942,0.4584,0.4363,0.5772,0.4212,
ADBE,2019,0.5263,0.2678,0.4704,0.4584,0.4363,0.5772,0.4212
ADBE,2020,0.4241,0.383,0.5263,0.4704,0.4584,0.4363,0.5772
ADBE,2021,0.3868,0.4065,0.4241,0.5263,0.4704,0.4584,0.4363
ADBE,2022,0.4009,0.5526,0.3868,0.4241,0.5263,0.4704,0.4584
ADBE,2023,0.4158,0.5626,0.4009,0.3868,0.4241,0.5263,0.4704
ADI,2014,0.5252,0.6092,,,,,
ADI,2015,0.6164,0.4892,0.5252,,,,
ADI,2016,0.6786,0.2695,0.6164,0.5252,,,
ADI,2017,0.8786,0.6718,0.6786,0.6164,0.5252,,
ADI,2018,0.7892,0.3722,0.8786,0.6786,0.6164,0.5252,
ADI,2019,0.7016,0.6825,0.7892,0.8786,0.6786,0.6164,0.5252
ADI,2020,0.4764,0.4067,0.7016,0.7892,0.8786,0.6786,0.6164
ADI,2021,0.5755,0.3684,0.4764,0.7016,0.7892,0.8786,0.6786
ADI,2022,0.7228,0.3149,0.5755,0.4764,0.7016,0.7892,0.8786
ADI,2023,0.6572,0.5007,0.7228,0.5755,0.4764,0.7016,0.7892
ADP,2014,0.5492,0.4821,,,,,
ADP,2015,0.4251,0.3457,0.5492,,,,
ADP,2016,0.5276,0.5134,0.4251,0.5492,,,
ADP,2017,0.4817,0.4318,0.5276,0.4251,0.5492,,
ADP,2018,0.6033,0.4239,0.4817,0.5276,0.4251,0.5492,
ADP,2019,0.5165,0.6189,0.6033,0.4817,0.5276,0.4251,0.5492
ADP,2020,0.4063,0.4038,0.5165,0.6033,0.4817,0.5276,0.4251
ADP,2021,0.5807,0.4432,0.4063,0.5165,0.6033,0.4817,0.5276
ADP,2022,0.4596,0.3991,0.5807,0.4063,0.5165,0.6033,0.4817
ADP,2023,0.4901,0.604,0.4596,0.5807,0.4063,0.5165,0.6033
AMAT,2014,0.2653,0.4747,,,,,
AMAT,2015,0.3935,0.4335,0.2653,,,,
AMAT,2016,0.5887,0.5618,0.3935,0.2653,,,
AMAT,2017,0.3215,0.3225,0.5887,0.3935,0.2653,,
AMAT,2018,0.4328,0.5772,0.3215,0.5887,0.3935,0.2653,
AMAT,2019,0.4155,0.4859,0.4328,0.3215,0.5887,0.3935,0.2653
AMAT,2020,0.5528,0.5383,0.4155,0.4328,0.3215,0.5887,0.3935
AMAT,2021,0.4019,0.2913,0.5528,0.4155,0.4328,0.3215,0.5887
