ticker,year,IT_lag,OR,IT_lag1,IT_lag2,IT_lag3,IT_lag4,IT_lag5
AAPL,2014,0.4153,0.3417,,,,,
AAPL,2015,0.5459,0.3869,0.4153,,,,
AAPL,2016,0.4834,0.3802,0.5459,0.4153,,,
AAPL,2017,0.4929,0.3556,0.4834,0.5459,0.4153,,
AAPL,2018,0.399,0.3673,0.4929,0.4834,0.5459,0.4153,
AAPL,2019,0.6303,0.3927,0.399,0.4929,0.4834,0.5459,0.4153
AAPL,2020,0.6109,0.3897,0.6303,0.399,0.4929,0.4834,0.5459
AAPL,2021,0.3447,0.3978,0.6109,0.6303,0.399,0.4929,0.4834
AAPL,2022,0.5092,0.3544,0.3447,0.6109,0.6303,0.399,0.4929
AAPL,2023,0.6872,0.4162,0.5092,0.3447,0.6109,0.6303,0.399
ABBV,2014,0.1736,0.2888,,,,,
ABBV,2015,0.1672,0.1909,0.1736,,,,
ABBV,2016,0.3132,0.4632,0.1672,0.1736,,,
ABBV,2017,0.2752,0.5123,0.3132,0.1672,0.1736,,
ABBV,2018,0.2247,0.4291,0.2752,0.3132,0.1672,0.1736,
ABBV,2019,0.245,0.4552,0.2247,0.2752,0.3132,0.1672,0.1736
ABBV,2020,0.1674,0.354,0.245,0.2247,0.2752,0.3132,0.1672
ABBV,2021,0.1946,0.2622,0.1674,0.245,0.2247,0.2752,0.3132
ABBV,2022,0.1363,0.2824,0.1946,0.1674,0.245,0.2247,0.2752
ABBV,2023,0.1384,0.2351,0.1363,0.1946,0.1674,0.245,0.2247
ABT,2014,0.6192,0.354,,,,,
ABT,2015,0.4143,0.4323,0.6192,,,,
ABT,2016,0.3316,0.535,0.4143,0.6192,,,
ABT,2017,0.26,0.6123,0.3316,0.4143,0.6192,,
ABT,2018,0.517,0.4744,0.26,0.3316,0.4143,0.6192,
ABT,2019,0.3995,0.3757,0.517,0.26,0.3316,0.4143,0.6192
ABT,2020,0.4964,0.3713,0.3995,0.517,0.26,0.3316,0.4143
ABT,2021,0.4121,0.3504,0.4964,0.3995,0.517,0.26,0.3316
ABT,2022,0.5598,0.2482,0.4121,0.4964,0.3995,0.517,0.26
ABT,2023,0.5164,0.4313,0.5598,0.4121,0.4964,0.3995,0.517
ACN,2014,0.7712,0.4056,,,,,
ACN,2015,0.8563,0.3997,0.7712,,,,
ACN,2016,0.7807,0.4088,0.8563,0.7712,,,
ACN,2017,0.7704,0.3851,0.7807,0.8563,0.7712,,
ACN,2018,0.8018,0.759,0.7704,0.7807,0.8563,0.7712,
ACN,2019,0.8175,0.3718,0.8018,0.7704,0.7807,0.8563,0.7712
ACN,2020,0.7768,0.3869,0.8175,0.8018,0.7704,0.7807,0.8563
ACN,2021,0.7092,0.3675,0.7768,0.8175,0.8018,0.7704,0.7807
ACN,2022,0.6772,0.365,0.7092,0.7768,0.8175,0.8018,0.7704
ACN,2023,0.6974,0.8046,0.6772,0.7092,0.7768,0.8175,0.8018
ADBE,2014,0.5441,0.5858,,,,,
ADBE,2015,0.6176,0.3097,0.5441,,,,
ADBE,2016,0.4431,0.2679,0.6176,0.5441,,,
ADBE,2017,0.4559,0.2442,0.4431,0.6176,0.5441,,
ADBE,2018,0.5034,0.3105,0.4559,0.4431,0.6176,0.5441,
ADBE,2019,0.4222,0.2644,0.5034,0.4559,0.4431,0.6176,0.5441
ADBE,2020,0.5643,0.3966,0.4222,0.5034,0.4559,0.4431,0.6176
ADBE,2021,0.4177,0.4099,0.5643,0.4222,0.5034,0.4559,0.4431
ADBE,2022,0.6793,0.3914,0.4177,0.5643,0.4222,0.5034,0.4559
ADBE,2023,0.5044,0.5165,0.6793,0.4177,0.5643,0.4222,0.5034
ADI,2014,0.5677,0.4601,,,,,
ADI,2015,0.6266,0.5102,0.5677,,,,
ADI,2016,0.7239,0.4131,0.6266,0.5677,,,
ADI,2017,0.7306,0.309,0.7239,0.6266,0.5677,,
ADI,2018,0.5823,0.5693,0.7306,0.7239,0.6266,0.5677,
ADI,2019,0.5297,0.5325,0.5823,0.7306,0.7239,0.6266,0.5677
ADI,2020,0.2953,0.4027,0.5297,0.5823,0.7306,0.7239,0.6266
ADI,2021,0.3475,0.3864,0.2953,0.5297,0.5823,0.7306,0.7239
ADI,2022,0.4838,0.3096,0.3475,0.2953,0.5297,0.5823,0.7306
ADI,2023,0.3427,0.4387,0.4838,0.3475,0.2953,0.5297,0.5823
ADP,2014,0.5469,0.4209,,,,,
ADP,2015,0.539,0.3775,0.5469,,,,
ADP,2016,0.6292,0.5562,0.539,0.5469,,,
ADP,2017,0.4032,0.4752,0.6292,0.539,0.5469,,
ADP,2018,0.4824,0.4863,0.4032,0.6292,0.539,0.5469,
ADP,2019,0.4718,0.3133,0.4824,0.4032,0.6292,0.539,0.5469
ADP,2020,0.612,0.4392,0.4718,0.4824,0.4032,0.6292,0.539
ADP,2021,0.5687,0.4541,0.612,0.4718,0.4824,0.4032,0.6292
ADP,2022,0.4435,0.3966,0.5687,0.612,0.4718,0.4824,0.4032
ADP,2023,0.505,0.6339,0.4435,0.5687,0.612,0.4718,0.4824
AMAT,2014,0.2746,0.2827,,,,,
AMAT,2015,0.3953,0.2876,0.2746,,,,
AMAT,2016,0.2878,0.298,0.3953,0.2746,,,
AMAT,2017,0.2991,0.4453,0.2878,0.3953,0.2746,,
AMAT,2018,0.3174,0.5189,0.2991,0.2878,0.3953,0.2746,
AMAT,2019,0.4411,0.2666,0.3174,0.2991,0.2878,0.3953,0.2746
AMAT,2020,0.3813,0.4695,0.4411,0.3174,0.2991,0.2878,0.3953
AMAT,2021,0.3491,0.342,0.3813,0.4411,0.3174,0.2991,0.2878
AMAT,2022,0.3414,0.3729,0.3491,0.3813,0.4411,0.3174,0.2991
AMAT,2023,0.393,0.7237,0.3414,0.3491,0.3813,0.4411,0.3174
AMD,2014,0.4175,0.455,,,,,
AMD,2015,0.4128,0.5673,0.4175,,,,
AMD,2016,0.4,0.3556,0.4128,0.4175,,,
AMD,2017,0.4024,0.5378,0.4,0.4128,0.4175,,
AMD,2018,0.2668,0.3641,0.4024,0.4,0.4128,0.4175,
AMD,2019,0.3864,0.5375,0.2668,0.4024,0.4,0.4128,0.4175
AMD,2020,0.4438,0.4018,0.3864,0.2668,0.4024,0.4,0.4128
