ticker,year,IT_similarity,OR_similarity,IT_growth,OR_growth,Revenues,Net Income,Sector,Industry,Marketcap
AAPL,2014,0.4217,0.4217,,,182795000000.0,39510000000.0,Technology,Consumer Electronics,3846819807232
ABBV,2014,0.4826,0.4826,,,19960000000.0,1774000000.0,Healthcare,Drug Manufacturers - General,310274424832
ABT,2014,0.3818,0.3818,,,20247000000.0,2284000000.0,Healthcare,Medical Devices,198127370240
ACN,2014,0.5834,0.5834,,,31874678000.0,2941498000.0,Technology,Information Technology Services,229157109760
ADBE,2014,0.6108,0.6108,,,4147065000.0,268395000.0,Technology,Software - Infrastructure,196844240896
ADI,2014,0.4259,0.4259,,,2864773000.0,629320000.0,Technology,Semiconductors,105105776640
ADP,2014,0.5743,0.5743,,,10226400000.0,1515900000.0,Technology,Software - Application,119800504320
AMAT,2014,0.6019,0.6019,,,9072000000.0,1072000000.0,Technology,Semiconductor Equipment & Materials,133110726656
AMD,2014,0.3363,0.3363,,,5506000000.0,-403000000.0,Technology,Semiconductors,193455177728
AMGN,2014,0.4082,0.4082,,,20063000000.0,5158000000.0,Healthcare,Drug Manufacturers - General,141575438336
AMZN,2014,0.4534,0.4534,,,88988000000.0,-241000000.0,Consumer Cyclical,Internet Retail,2365033807872
ANET,2014,0.4997,0.4997,,,584106000.0,86850000.0,Technology,Computer Hardware,142113521664
BA,2014,0.5077,0.5077,,,90762000000.0,5446000000.0,Industrials,Aerospace & Defense,132689018880
BAC,2014,0.4082,0.4082,,,85894000000.0,5520000000.0,Financial Services,Banks - Diversified,338911100928
BKNG,2014,0.4735,0.4735,,,8441971000.0,2421753000.0,Consumer Cyclical,Travel Services,167091666944
BMY,2014,0.4091,0.4091,,,15879000000.0,2004000000.0,Healthcare,Drug Manufacturers - General,116275560448
BRK-B,2014,0.6324,0.6324,,,194699000000.0,19872000000.0,Financial Services,Insurance - Diversified,978776031232
BSX,2014,0.1437,0.1437,,,7462000000.0,-119000000.0,Healthcare,Medical Devices,131097174016
BX,2014,0.7475,0.7475,,,7484728000.0,1584589000.0,Financial Services,Asset Management,207208415232
CB,2014,0.5461,0.5461,,,19171000000.0,2853000000.0,Financial Services,Insurance - Property & Casualty,110126374912
CMCSA,2014,0.4078,0.4078,,,68775000000.0,8380000000.0,Communication Services,Telecom Services,146250366976
COST,2014,0.4679,0.4679,,,112640000000.0,2058000000.0,Consumer Defensive,Discount Stores,423510736896
CRM,2014,0.4911,0.4911,,,1226772000.0,-262688000.0,Technology,Software - Application,328873050112
CSCO,2014,0.5226,0.5226,,,47142000000.0,7853000000.0,Technology,Communication Equipment,233071116288
DHR,2014,0.4675,0.4675,,,12866900000.0,2598400000.0,Healthcare,Diagnostics & Research,165075959808
FI,2014,0.4752,0.4752,,,5066000000.0,754000000.0,Technology,Information Technology Services,117225758720
GILD,2014,0.3813,0.3813,,,24890000000.0,12101000000.0,Healthcare,Drug Manufacturers - General,115367206912
GOOGL,2014,0.6661,0.6661,,,66001000000.0,14444000000.0,Communication Services,Internet Content & Information,2351625142272
GS,2014,0.5568,0.5568,,,,,Financial Services,Capital Markets,177704452096
HD,2014,0.3322,0.3322,,,83176000000.0,6345000000.0,Consumer Cyclical,Home Improvement Retail,389994315776
INTU,2014,0.5492,0.5492,,,4243000000.0,907000000.0,Technology,Software - Application,180095795200
