ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.6049,0.5591,0.5778,0.6369,0.665,0.5239,0.7281,0.7027,0.5913,0.5898
TXN,0.5319,0.5271,0.5074,0.5746,0.5072,0.5146,0.5167,0.5141,0.5872,0.5294
SYK,0.5707,0.5725,0.5711,0.5802,0.5588,0.5588,0.5663,0.5289,0.5564,0.5418
DHR,0.5429,0.4324,0.6525,0.7572,0.7283,0.628,0.775,0.591,0.6929,0.6393
LLY,0.5051,0.5297,0.5992,0.5284,0.5827,0.5921,0.5087,0.5547,0.7636,0.5782
TSLA,0.5128,0.6608,0.4989,0.5343,0.5036,0.5734,0.5575,0.5645,0.6297,0.5645
INTU,0.6564,0.631,0.5849,0.6197,0.5664,0.5932,0.5906,0.5594,0.5624,0.5224
NKE,0.5838,0.5439,0.4945,0.4688,0.4789,0.5269,0.49,0.5008,0.495,0.4815
LRCX,0.556,0.5199,0.4954,0.5324,0.4029,0.5277,0.6171,0.5022,0.4225,0.4718
MS,0.5679,0.4348,0.4753,0.9296,0.9509,0.9231,0.8564,0.862,0.8196,0.8537
COST,0.6192,0.6213,0.5802,0.6339,0.6325,0.6361,0.6748,0.6867,0.6202,0.6965
NVDA,0.3913,0.5694,0.3207,0.5724,0.3787,0.477,0.4499,0.3667,0.4232,0.3332
UPS,0.7013,0.6204,0.5109,0.6503,0.6566,0.6348,0.5739,0.5929,0.6096,0.624
XOM,0.4713,0.4515,0.3441,0.4091,0.3766,0.4435,0.4573,0.3728,0.4286,0.4288
ELV,0.6053,0.4836,0.7533,0.7861,0.5842,0.5851,0.5811,0.6972,0.6775,0.6261
MRK,0.4894,0.4825,0.5268,0.5689,0.6151,0.6996,0.4856,0.5613,0.6107,0.6106
QCOM,0.2823,0.3242,0.495,0.3327,0.233,0.2638,0.2486,0.4064,0.3295,0.3143
ADBE,0.5379,0.4961,0.4678,0.4973,0.5786,0.5819,0.5176,0.5151,0.5552,0.4762
ORCL,0.5214,0.466,0.4393,0.4852,0.4628,0.444,0.4368,0.4367,0.4958,0.4675
CVX,0.2763,0.2778,0.3529,0.6165,0.5901,0.43,0.6473,0.3921,0.5675,0.4347
T,0.3805,0.3411,0.5042,0.5247,0.3647,0.4167,0.3611,0.4076,0.3484,0.4133
KO,0.5783,0.4326,0.5306,0.4136,0.5343,0.4327,0.6313,0.6581,0.4882,0.5908
PG,0.6632,0.5886,0.6115,0.657,0.6647,0.5942,0.5924,0.6168,0.5566,0.6139
ADP,0.4686,0.5597,0.4995,0.4777,0.4575,0.5642,0.5295,0.492,0.5019,0.5119
JPM,0.3631,0.3526,0.4214,0.4159,0.4176,0.4156,0.4333,0.4167,0.5343,0.4961
BKNG,0.6052,0.4481,0.3508,0.3594,0.3546,0.4599,0.3364,0.5016,0.471,0.6402
MMC,0.6339,0.5439,0.6735,0.5786,0.6486,0.5786,0.6885,0.6302,0.6799,0.6106
VZ,0.4893,0.4484,0.6656,0.5167,0.4769,0.3849,0.4301,0.5437,0.4401,0.3914
