ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.5301,0.472,0.5418,0.4618,0.5587,0.4661,0.5398,0.4696,0.438,0.5023
TXN,0.3407,0.4994,0.5594,0.354,0.3698,0.5584,0.5214,0.5225,0.535,0.5207
SYK,0.2267,0.2143,0.4297,0.4011,0.4908,0.4695,0.3125,0.3185,0.3062,0.51
DHR,0.4973,0.4707,0.5226,0.4927,0.4414,0.4826,0.5347,0.3714,0.622,0.4885
LLY,0.1839,0.3617,0.4352,0.2619,0.1767,0.2633,0.3151,0.2884,0.2508,0.2359
TSLA,0.261,0.358,0.3504,0.1978,0.2623,0.2308,0.4227,0.4031,0.2729,0.2598
INTU,0.4755,0.4355,0.446,0.4307,0.4392,0.5054,0.5083,0.4858,0.5623,0.5348
NKE,0.6269,0.6112,0.542,0.6131,0.5405,0.5493,0.5225,0.6639,0.5515,0.6131
LRCX,0.5216,0.3763,0.4016,0.3578,0.3667,0.3536,0.4231,0.3753,0.3847,0.3418
MS,0.5521,0.4781,0.5874,0.1882,0.2246,0.1999,0.4736,0.4008,0.6226,0.4488
COST,0.4144,0.4662,0.3195,0.4499,0.4129,0.4531,0.5083,0.4623,0.4841,0.5117
NVDA,0.4709,0.4937,0.614,0.44,0.5298,0.4878,0.534,0.3593,0.4554,0.5051
UPS,0.6348,0.5137,0.3905,0.5224,0.4378,0.5102,0.4963,0.4998,0.6218,0.5365
XOM,0.5277,0.5011,0.505,0.518,0.481,0.6393,0.6277,0.5722,0.5317,0.662
ELV,0.3587,0.503,0.3761,0.2842,0.3143,0.6542,0.3571,0.412,0.5128,0.4822
MRK,0.44,0.4417,0.2647,0.5127,0.4708,0.4514,0.4286,0.5059,0.396,0.4441
QCOM,0.2895,0.6178,0.2721,0.5526,0.1754,0.1475,0.3987,0.429,0.338,0.3353
ADBE,0.4084,0.412,0.2758,0.3627,0.5319,0.4429,0.4492,0.4567,0.5222,0.4524
ORCL,0.4435,0.4023,0.4003,0.3959,0.4207,0.3269,0.4221,0.4919,0.4742,0.4747
CVX,0.4736,0.4891,0.4436,0.4795,0.4885,0.428,0.4249,0.5104,0.4689,0.4936
T,0.6476,0.7117,0.2853,0.495,0.2926,0.3752,0.3579,0.3813,0.356,0.3143
KO,0.2945,0.3488,0.3391,0.4644,0.3508,0.5461,0.4818,0.5086,0.3403,0.5981
PG,0.4918,0.4384,0.4745,0.5123,0.511,0.4424,0.5335,0.5021,0.4725,0.6933
ADP,0.5491,0.4856,0.508,0.5241,0.4797,0.4955,0.5285,0.4965,0.4984,0.5197
JPM,0.5477,0.5135,0.5293,0.4996,0.5632,0.5353,0.5763,0.6572,0.6436,0.6738
BKNG,0.4622,0.3948,0.3804,0.4106,0.4257,0.4615,0.4422,0.4385,0.4674,0.4544
MMC,0.68,0.592,0.5263,0.5338,0.5221,0.5766,0.6508,0.4727,0.624,0.5539
VZ,0.4786,0.5015,0.5472,0.5484,0.4434,0.5073,0.4692,0.4642,0.4109,0.442
CSCO,0.4423,0.4197,0.421,0.4366,0.6663,0.4687,0.4688,0.4657,0.5162,0.4863
MCD,0.4013,0.4184,0.447,0.4617,0.4822,0.7842,0.7225,0.6788,0.5058,0.4666
MO,0.3085,0.412,0.618,0.5644,0.3451,0.3368,0.3419,0.3392,0.3829,0.3907
BA,0.4551,0.5001,0.3502,0.3865,0.3995,0.3894,0.3849,0.4166,0.3837,0.4023
MU,0.3692,0.4523,0.2444,0.2561,0.4139,0.293,0.3796,0.3706,0.3862,0.4753
PFE,0.1706,0.534,0.2734,0.2413,0.2848,0.3214,0.2194,0.2517,0.2254,0.2078
DE,0.3854,0.4367,0.3588,0.3662,0.3626,0.3375,0.3557,0.3581,0.3907,0.323
TMO,0.4406,0.467,0.4176,0.5259,0.3638,0.5534,0.4099,0.4174,0.5286,0.5712
AMT,0.5359,0.2858,0.3147,0.2286,0.3269,0.2522,0.2699,0.3209,0.337,0.2608
AXP,0.5025,0.3729,0.48,0.4641,0.4509,0.5393,0.7079,0.5393,0.4981,0.6333
BSX,0.3097,0.2329,0.2659,0.3421,0.3531,0.3624,0.4046,0.5034,0.5011,0.4067
AVGO,0.4091,0.3876,0.3767,0.4159,0.4789,0.4016,0.5179,0.5159,0.4835,0.4685
CME,0.3484,0.3436,0.3404,0.397,0.4362,0.4105,0.4514,0.3859,0.3984,0.4251
PEP,0.3594,0.4052,0.3234,0.3451,0.2948,0.2927,0.4675,0.488,0.5076,0.5599
WMT,0.4541,0.4463,0.4553,0.4677,0.4527,0.4857,0.509,0.4391,0.4051,0.424
HON,0.6108,0.4643,0.5228,0.5386,0.5138,0.4774,0.4275,0.4214,0.414,0.4196
META,0.3348,0.2884,0.3718,0.3087,0.3847,0.2784,0.3178,0.3248,0.4026,0.4008
MA,0.4272,0.6298,0.4271,0.3592,0.4578,0.4136,0.4895,0.5265,0.4868,0.4597
AMGN,0.3184,0.1948,0.4341,0.3339,0.3331,0.1924,0.3976,0.4054,0.1923,0.3962
IBM,0.5374,0.4713,0.5929,0.529,0.5796,0.4654,0.4513,0.4656,0.4851,0.4971
CRM,0.4878,0.4365,0.4063,0.4831,0.4629,0.4632,0.3859,0.5631,0.6803,0.474
TMUS,0.3908,0.4473,0.4528,0.3197,0.3582,0.4007,0.4012,0.3976,0.412,0.5568
ABBV,0.3784,0.3607,0.2393,0.5154,0.1946,0.3862,0.2928,0.3373,0.4082,0.235
PLD,0.3919,0.4686,0.4984,0.427,0.4452,0.4919,0.4061,0.4769,0.4896,0.4776
ADI,0.3763,0.325,0.404,0.5592,0.4724,0.5058,0.3266,0.3374,0.3913,0.3313
CAT,0.4449,0.5848,0.4254,0.4226,0.5095,0.652,0.3908,0.4489,0.4769,0.5447
APH,0.33,0.4801,0.4681,0.4272,0.429,0.5777,0.4728,0.5336,0.4843,0.4797
AAPL,0.4384,0.4738,0.5427,0.4971,0.5137,0.5332,0.507,0.4838,0.4663,0.5987
PANW,0.4273,0.5388,0.4339,0.5155,0.4278,0.4242,0.4958,0.4783,0.4445,0.4928
LOW,0.4766,0.4826,0.4912,0.5097,0.4969,0.5132,0.4568,0.3724,0.4376,0.3948
SO,0.5431,0.3863,0.4833,0.4345,0.2599,0.4131,0.5619,0.3755,0.3798,0.4213
EQIX,0.6101,0.4953,0.6155,0.5491,0.3672,0.4983,0.3865,0.4698,0.3433,0.6141
LMT,0.34,0.4131,0.4103,0.3786,0.4929,0.2339,0.33,0.358,0.4952,0.4233
ABT,0.3564,0.3403,0.3427,0.4295,0.4747,0.5474,0.3935,0.3772,0.4226,0.4208
BAC,0.5561,0.4518,0.5709,0.5198,0.5086,0.5114,0.6573,0.5131,0.5564,0.7064
DIS,0.3662,0.3417,0.3662,0.3884,0.4693,0.458,0.3996,0.4048,0.6867,0.6651
BRK-B,0.5482,0.4994,0.5746,0.5452,0.5326,0.5253,0.5354,0.6003,0.5592,0.5758
NFLX,0.3345,0.3332,0.3052,0.4564,0.3099,0.3512,0.377,0.3744,0.3658,0.3554
PM,0.6876,0.3996,0.5911,0.4802,0.3166,0.2779,0.3094,0.4574,0.3073,0.5646
ICE,0.3012,0.2707,0.2704,0.2802,0.2237,0.31,0.3633,0.5465,0.3859,0.3097
MSFT,0.5309,0.6543,0.5601,0.3866,0.4465,0.4308,0.4472,0.445,0.4458,0.3397
BLK,0.4813,0.4419,0.519,0.4249,0.4983,0.4994,0.5428,0.538,0.4779,0.4875
CMCSA,0.3546,0.3308,0.3232,0.4212,0.4532,0.4736,0.4562,0.5476,0.3968,0.4635
GS,0.5018,0.5431,0.4561,0.5063,0.5101,0.4945,0.5961,0.6428,0.602,0.4534
AMZN,0.5305,0.5029,0.4943,0.4733,0.4886,0.4562,0.502,0.4968,0.4589,0.5163
