ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.7092,0.538,0.5441,0.5123,0.5951,0.56,0.4298,0.5282,0.5164,0.4299
TXN,0.3693,0.4637,0.5267,0.4622,0.3884,0.5803,0.5059,0.5295,0.4594,0.5212
SYK,0.2934,0.2716,0.2909,0.3472,0.3023,0.3905,0.3749,0.3694,0.2738,0.3408
DHR,0.471,0.4562,0.5209,0.561,0.5408,0.5004,0.4778,0.4322,0.4649,0.4685
LLY,0.2542,0.3339,0.1966,0.2278,0.1805,0.2253,0.3929,0.2874,0.2494,0.2487
TSLA,0.2241,0.2578,0.2446,0.2365,0.2291,0.2614,0.3768,0.3517,0.4516,0.3812
INTU,0.4602,0.4922,0.5214,0.441,0.4846,0.5019,0.5483,0.5601,0.4963,0.5152
NKE,0.6325,0.6248,0.5474,0.5945,0.6485,0.4981,0.53,0.5617,0.5921,0.6696
LRCX,0.4698,0.3426,0.4502,0.428,0.3265,0.3368,0.4889,0.3737,0.4435,0.3392
MS,0.543,0.5096,0.5472,0.2076,0.175,0.4151,0.607,0.6124,0.5744,0.4326
COST,0.4594,0.4024,0.3156,0.445,0.4189,0.4223,0.5109,0.4536,0.5052,0.4436
NVDA,0.4371,0.4752,0.5451,0.5927,0.4968,0.5183,0.4327,0.3314,0.4606,0.4865
UPS,0.4403,0.3959,0.3796,0.7909,0.4719,0.5512,0.5548,0.6011,0.6903,0.6605
XOM,0.4349,0.4551,0.5606,0.5855,0.5353,0.5714,0.5693,0.6207,0.5325,0.6314
ELV,0.7694,0.6304,0.3577,0.276,0.5254,0.298,0.5123,0.4119,0.4761,0.4877
MRK,0.3281,0.4212,0.4308,0.4821,0.5467,0.4919,0.428,0.5214,0.4103,0.5192
QCOM,0.6654,0.2552,0.1979,0.6142,0.1178,0.1711,0.4049,0.4147,0.3925,0.2994
ADBE,0.5869,0.4335,0.3647,0.4236,0.4086,0.4149,0.4491,0.4146,0.428,0.5626
ORCL,0.4145,0.3911,0.4027,0.3707,0.4004,0.3296,0.4551,0.4983,0.404,0.4339
CVX,0.4623,0.444,0.4694,0.4599,0.4479,0.4679,0.4804,0.5658,0.4918,0.4783
T,0.4788,0.3398,0.2895,0.4337,0.2648,0.3303,0.3693,0.4177,0.405,0.4089
KO,0.2382,0.2295,0.339,0.31,0.5607,0.4076,0.4816,0.5403,0.6287,0.5531
PG,0.4357,0.3915,0.4413,0.4451,0.4671,0.4291,0.5232,0.5341,0.5671,0.509
ADP,0.5056,0.5213,0.5045,0.4139,0.4967,0.493,0.5383,0.4818,0.5111,0.5446
JPM,0.4725,0.5379,0.567,0.506,0.5891,0.7112,0.5991,0.6161,0.6717,0.5213
BKNG,0.456,0.4631,0.4887,0.4933,0.4513,0.4135,0.3848,0.4791,0.4702,0.4769
MMC,0.6014,0.5972,0.5288,0.5719,0.5854,0.5591,0.53,0.6853,0.7013,0.7022
VZ,0.4958,0.493,0.4385,0.4864,0.4828,0.4631,0.4581,0.6463,0.4881,0.3657
CSCO,0.428,0.4021,0.3904,0.4328,0.5539,0.5731,0.4242,0.525,0.4688,0.4446
MCD,0.5118,0.4111,0.5394,0.3452,0.3107,0.5018,0.8178,0.7551,0.8094,0.3883
MO,0.265,0.2998,0.263,0.2734,0.293,0.273,0.3292,0.3555,0.2964,0.368
BA,0.3715,0.3943,0.4203,0.4724,0.4032,0.3926,0.3875,0.4199,0.3802,0.374
MU,0.28,0.2911,0.261,0.3355,0.2841,0.2568,0.3788,0.4183,0.449,0.3619
PFE,0.1788,0.2195,0.2444,0.2935,0.261,0.3189,0.2076,0.1774,0.2296,0.2154
DE,0.3469,0.4357,0.4176,0.3622,0.3099,0.339,0.4235,0.3998,0.3709,0.3983
TMO,0.5421,0.5056,0.4287,0.4915,0.495,0.5206,0.4401,0.5079,0.6094,0.6881
