ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.5876,0.5941,0.5856,0.6647,0.6296,0.5574,0.5707,0.509,0.565,0.5447
TXN,0.5899,0.5226,0.5239,0.5476,0.5313,0.5245,0.5492,0.5522,0.5291,0.5237
SYK,0.5707,0.571,0.5622,0.5777,0.556,0.5588,0.6398,0.5545,0.5268,0.5467
DHR,0.4419,0.5783,0.6577,0.6708,0.6513,0.8095,0.6762,0.5728,0.6035,0.5598
LLY,0.5028,0.547,0.5867,0.5313,0.5583,0.5992,0.5001,0.5774,0.341,0.5879
TSLA,0.5344,0.4961,0.6159,0.4683,0.5029,0.5534,0.6205,0.6297,0.595,0.5809
INTU,0.6365,0.6061,0.6205,0.5705,0.652,0.5692,0.6378,0.5314,0.6005,0.6031
NKE,0.5191,0.4954,0.5545,0.4446,0.5054,0.5649,0.5081,0.4738,0.5334,0.4812
LRCX,0.7392,0.6887,0.7175,0.7001,0.68,0.7154,0.7569,0.6534,0.7637,0.7267
COST,0.6189,0.6063,0.3288,0.6339,0.6227,0.6335,0.6561,0.682,0.6783,0.6937
NVDA,0.4074,0.5733,0.4063,0.3809,0.3791,0.3323,0.365,0.4386,0.4661,0.4168
UPS,0.6025,0.5203,0.5357,0.5814,0.5412,0.5772,0.6075,0.6411,0.6157,0.5885
MRK,0.4954,0.4661,0.4854,0.5475,0.6155,0.5574,0.5821,0.5749,0.6107,0.6066
QCOM,0.3114,0.2578,0.2675,0.5851,0.2659,0.2188,0.2757,0.3366,0.3303,0.4121
ADBE,0.501,0.5009,0.5188,0.5665,0.5882,0.6031,0.5616,0.5235,0.5496,0.5049
ORCL,0.5037,0.465,0.4553,0.4657,0.4989,0.4596,0.469,0.4611,0.4324,0.4748
KO,0.3758,0.427,0.5948,0.481,0.4514,0.5426,0.5461,0.5286,0.5324,0.4455
PG,0.5855,0.6051,0.5879,0.6137,0.7667,0.6198,0.6064,0.6218,0.6066,0.7506
ADP,0.6121,0.5307,0.4247,0.5308,0.5558,0.5658,0.5158,0.5377,0.5552,0.5258
ACN,0.7707,0.723,0.7646,0.7957,0.7347,0.7729,0.7999,0.7989,0.7963,0.7647
BKNG,0.8429,0.5958,0.4363,0.3748,0.3929,0.4416,0.3713,0.5042,0.5373,0.4502
MMC,0.6343,0.6217,0.6147,0.6353,0.6807,0.6616,0.5779,0.6013,0.6385,0.6215
CSCO,0.4244,0.5148,0.5112,0.4637,0.5141,0.6164,0.5484,0.5082,0.506,0.6396
BA,0.3924,0.3988,0.3325,0.3296,0.3989,0.4315,0.4276,0.327,0.4074,0.4148
MU,0.2899,0.2538,0.3514,0.4306,0.4004,0.3754,0.3732,0.3691,0.4208,0.3509
TMO,0.5508,0.59,0.5836,0.6006,0.613,0.6657,0.6095,0.7453,0.6873,0.6248
BSX,0.4995,0.4755,0.4708,0.3103,0.4459,0.4125,0.4962,0.5802,0.6005,0.6294
PEP,0.5837,0.5662,0.5591,0.5829,0.5847,0.4842,0.6043,0.4887,0.5909,0.5475
META,0.4262,0.3938,0.3759,0.4468,0.4205,0.4166,0.5726,0.4256,0.5741,0.5189
MA,0.5129,0.4589,0.4969,0.5041,0.5129,0.4838,0.476,0.4858,0.6463,0.4414
AMGN,0.4381,0.433,0.4176,0.4551,0.5401,0.1811,0.5556,0.5416,0.5177,0.5847
CRM,0.5563,0.4802,0.5077,0.6725,0.5744,0.6907,0.5188,0.6673,0.5618,0.5896
TMUS,0.5803,0.5492,0.5806,0.4487,0.4448,0.4049,0.42,0.6319,0.5348,0.4974
ABBV,0.3666,0.3389,0.2926,0.3188,0.3051,0.3625,0.3594,0.3176,0.3419,0.418
PLD,0.3139,0.5261,0.4595,0.4942,0.4612,0.4566,0.7191,0.5083,0.3284,0.4597
ADI,0.5164,0.5863,0.5863,0.4836,0.5315,0.5135,0.4897,0.4085,0.5805,0.4119
AAPL,0.6251,0.6468,0.5443,0.6172,0.5039,0.5922,0.5884,0.5227,0.5942,0.6121
PANW,0.6248,0.6154,0.5874,0.5938,0.5732,0.6564,0.642,0.6287,0.5264,0.6003
LOW,0.5684,0.5658,0.5765,0.5845,0.5974,0.5985,0.5397,0.4782,0.5632,0.5544
CB,0.7835,0.8304,0.7686,0.8035,0.7843,0.7756,0.7646,0.7796,0.6159,0.7807
LMT,0.7067,0.5287,0.4239,0.4503,0.4163,0.3137,0.341,0.3679,0.5541,0.4922
ABT,0.5299,0.346,0.3625,0.4002,0.5818,0.4673,0.4019,0.4794,0.3817,0.4275
BAC,0.5664,0.3806,0.5845,0.5683,0.6288,0.5636,0.6435,0.7047,0.7484,0.6138
BRK-B,0.6485,0.6604,0.6042,0.6724,0.7041,0.584,0.5546,0.7121,0.5045,0.5948
NFLX,0.3833,0.3572,0.3535,0.3661,0.3788,0.4001,0.4376,0.4577,0.4112,0.412
PM,0.4799,0.4132,0.4551,0.4418,0.5684,0.5684,0.5746,0.3251,0.5812,0.5767
MSFT,0.5198,0.5231,0.4721,0.5488,0.5168,0.4412,0.4388,0.4849,0.4675,0.4656
CMCSA,0.3974,0.4093,0.4582,0.4937,0.4164,0.5364,0.5157,0.5133,0.5651,0.498
GS,0.4977,0.4238,0.4882,0.4402,0.5342,0.5025,0.4801,0.4599,0.4762,0.5003
AMZN,0.5682,0.4892,0.5445,0.5381,0.5426,0.5162,0.5018,0.502,0.4957,0.5019
AMAT,0.5235,0.4498,0.4493,0.6328,0.373,0.4849,0.5287,0.5255,0.466,0.5766
BMY,0.4473,0.5,0.5078,0.4978,0.503,0.5105,0.5073,0.4635,0.4513,0.4202
KKR,0.5181,0.5187,0.5482,0.5445,0.5409,0.5739,0.4791,0.4839,0.5276,0.3608
TJX,0.5557,0.559,0.6084,0.5467,0.5428,0.5644,0.5786,0.539,0.5506,0.6087
NOW,0.6027,0.5209,0.5451,0.5197,0.5582,0.5454,0.555,0.5185,0.5903,0.575
UNH,0.4738,0.4523,0.5155,0.541,0.405,0.5624,0.5698,0.606,0.5574,0.4572
FI,0.5996,0.5681,0.5512,0.5399,0.5828,0.4886,0.5625,0.4655,0.5125,0.5728
V,0.5626,0.3497,0.3877,0.4328,0.4239,0.4527,0.4134,0.41,0.6456,0.4817
SBUX,0.4895,0.6259,0.4928,0.6463,0.6377,0.5613,0.4397,0.5735,0.5035,0.454
AMD,0.625,0.6172,0.6538,0.6134,0.6119,0.5955,0.5924,0.5026,0.5623,0.5875
ISRG,0.5343,0.6544,0.6009,0.5841,0.6575,0.5847,0.6112,0.5981,0.6014,0.6572
GOOGL,0.4845,0.4937,0.4368,0.5904,0.5345,0.6041,0.5652,0.6701,0.4871,0.5263
HD,0.5436,0.5829,0.5698,0.5594,0.4891,0.5186,0.56,0.585,0.546,0.5348
VRTX,0.3633,0.4958,0.4635,0.4546,0.3412,0.4912,0.4236,0.3166,0.5043,0.5239
SCHW,0.5413,0.5701,0.6138,0.5194,0.5735,0.4394,0.5123,0.5688,0.512,0.6379
BX,0.5383,0.5377,0.5217,0.4423,0.4175,0.4547,0.4876,0.474,0.5049,0.4609
UNP,0.4326,0.3812,0.4156,0.3574,0.342,0.3813,0.4721,0.4905,0.5005,0.4664
NEE,0.5098,0.5572,0.5304,0.6111,0.5178,0.5213,0.587,0.5904,0.4808,0.5423
GILD,0.3798,0.4485,0.4125,0.3954,0.3804,0.3505,0.3697,0.4498,0.3183,0.5571
ANET,0.3318,0.6107,0.5365,0.5027,0.4737,0.4968,0.4384,0.4261,0.4806,0.4284
