ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.4967,0.5624,0.5243,0.6051,0.5732,0.5988,0.544,0.5795,0.5715,0.6345
TXN,0.5687,0.3604,0.647,0.7225,0.5022,0.412,0.5944,0.5918,0.52,0.5403
SYK,0.5013,0.4864,0.6286,0.6448,0.4124,0.46,0.4453,0.6288,0.4384,0.5808
DHR,0.5474,0.5948,0.645,0.6696,0.6484,0.524,0.6362,0.4706,0.5799,0.6146
LLY,0.3832,0.6649,0.3453,0.4201,0.5425,0.4761,0.4229,0.3382,0.4193,0.3726
TSLA,0.5387,0.3501,0.373,0.5877,0.4683,0.3857,0.4281,0.5172,0.2971,0.4406
INTU,0.48,0.5272,0.439,0.6461,0.5611,0.6897,0.7189,0.6923,0.5729,0.6595
NKE,0.5325,0.664,0.4489,0.4269,0.553,0.5144,0.5882,0.6191,0.4787,0.5472
LRCX,0.4295,0.5265,0.5375,0.5185,0.4807,0.5484,0.5865,0.4668,0.5013,0.4621
COST,0.5726,0.487,0.3862,0.509,0.7021,0.6503,0.5353,0.5248,0.5668,0.657
NVDA,0.4061,0.5524,0.4776,0.5963,0.5255,0.4048,0.5838,0.4864,0.5104,0.5106
UPS,0.4795,0.5206,0.5396,0.5522,0.5521,0.4502,0.5551,0.6561,0.518,0.5397
MRK,0.4733,0.5332,0.6269,0.4244,0.5596,0.5854,0.4315,0.5259,0.4273,0.5183
QCOM,0.4417,0.502,0.4191,0.4733,0.335,0.6033,0.4899,0.5587,0.4412,0.5953
ADBE,0.7863,0.6499,0.4531,0.6039,0.6159,0.5515,0.3774,0.4253,0.6561,0.5343
ORCL,0.3942,0.5647,0.7035,0.5066,0.3811,0.524,0.4577,0.5725,0.4177,0.5453
KO,0.4632,0.6654,0.6456,0.5747,0.3139,0.6808,0.498,0.5503,0.6339,0.5624
PG,0.5654,0.5463,0.6198,0.6868,0.5982,0.5329,0.5466,0.5294,0.5864,0.5451
ADP,0.5944,0.5949,0.5108,0.5666,0.4792,0.5671,0.5538,0.5738,0.5313,0.4561
ACN,0.4448,0.4763,0.4849,0.5317,0.5748,0.4257,0.4474,0.5405,0.6123,0.4624
BKNG,0.5483,0.6267,0.518,0.5309,0.6113,0.5605,0.483,0.5207,0.6216,0.6215
MMC,0.5427,0.5551,0.6286,0.6821,0.6555,0.6043,0.6535,0.5366,0.5886,0.6064
CSCO,0.6356,0.5791,0.5963,0.6176,0.4585,0.6591,0.4456,0.5135,0.3842,0.5228
BA,0.6015,0.6568,0.5143,0.5068,0.4881,0.5237,0.5586,0.4373,0.5972,0.5552
MU,0.317,0.3837,0.4907,0.467,0.3487,0.454,0.7252,0.3294,0.4741,0.2222
TMO,0.5828,0.6,0.594,0.5362,0.376,0.5641,0.4575,0.6287,0.5112,0.5506
BSX,0.4875,0.4991,0.4878,0.3421,0.3991,0.523,0.6332,0.6498,0.4455,0.5458
PEP,0.5404,0.5454,0.5512,0.4893,0.6244,0.5545,0.5091,0.636,0.6054,0.6788
META,0.3733,0.5845,0.6316,0.4551,0.5987,0.5099,0.5554,0.5617,0.4674,0.5446
MA,0.4389,0.3906,0.4367,0.4849,0.4723,0.4834,0.556,0.5709,0.5416,0.5743
AMGN,0.4405,0.2703,0.4611,0.3761,0.2638,0.3599,0.4253,0.425,0.4488,0.369
CRM,0.4523,0.5708,0.5505,0.6698,0.6338,0.5889,0.5065,0.663,0.5623,0.5904
TMUS,0.5648,0.4727,0.3952,0.4943,0.5235,0.4584,0.5321,0.5537,0.4619,0.5002
ABBV,0.3688,0.3802,0.4163,0.4504,0.2549,0.4545,0.4111,0.4558,0.2276,0.5131
PLD,0.5411,0.4363,0.5613,0.4874,0.5192,0.4233,0.52,0.5161,0.5858,0.468
ADI,0.3447,0.5001,0.6513,0.286,0.4359,0.4161,0.3839,0.324,0.4883,0.4272
AAPL,0.5891,0.4858,0.6352,0.529,0.5797,0.4711,0.5946,0.5244,0.5674,0.4864
PANW,0.5293,0.5923,0.6126,0.6037,0.5596,0.5424,0.6959,0.4958,0.4924,0.5846
LOW,0.4655,0.6117,0.4701,0.561,0.523,0.5672,0.5622,0.5371,0.5311,0.5858
CB,0.2227,0.2317,0.3519,0.6675,0.5667,0.4417,0.5888,0.5554,0.5209,0.7403
LMT,0.4434,0.5318,0.4642,0.5264,0.6113,0.5438,0.4533,0.4157,0.6036,0.6019
ABT,0.3661,0.4846,0.5874,0.5321,0.3958,0.3611,0.5933,0.3943,0.4866,0.3781
BAC,0.4232,0.5326,0.6148,0.5113,0.6028,0.5063,0.5663,0.5929,0.572,0.6341
BRK-B,0.5639,0.5944,0.5079,0.4148,0.6467,0.5704,0.5793,0.6637,0.551,0.4981
NFLX,0.5627,0.4015,0.4443,0.4597,0.6098,0.3995,0.423,0.4127,0.4074,0.5322
PM,0.6116,0.5299,0.4106,0.5154,0.4946,0.5871,0.5425,0.4396,0.631,0.5964
MSFT,0.6061,0.5881,0.4929,0.6518,0.6535,0.557,0.6483,0.4638,0.5689,0.5936
CMCSA,0.5233,0.5802,0.5158,0.3782,0.4739,0.3514,0.5428,0.4381,0.4773,0.5573
GS,0.568,0.5938,0.6992,0.4778,0.3981,0.551,0.6123,0.6428,0.6302,0.6931
AMZN,0.4982,0.5481,0.3913,0.4566,0.5308,0.4631,0.4031,0.4493,0.5831,0.48
AMAT,0.5666,0.5675,0.5132,0.6824,0.4642,0.5647,0.4833,0.5624,0.6959,0.5485
BMY,0.3571,0.4259,0.3864,0.439,0.3926,0.3248,0.5083,0.4363,0.4697,0.2759
KKR,0.6045,0.4658,0.6226,0.5764,0.5369,0.5655,0.548,0.5674,0.562,0.5902
