ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.616,0.4623,0.5349,0.5243,0.4664,0.412,0.5394,0.4913,0.4765,0.4523
TXN,0.3906,0.311,0.3402,0.4292,0.3579,0.4307,0.4565,0.3695,0.4436,0.5167
SYK,0.5603,0.4835,0.3685,0.5727,0.5786,0.4307,0.3596,0.3569,0.5993,0.4859
DHR,0.7644,0.4199,0.6046,0.5013,0.5364,0.3592,0.4064,0.384,0.6489,0.5308
LLY,0.5283,0.4464,0.484,0.3034,0.4738,0.4079,0.3796,0.366,0.326,0.4065
TSLA,0.2275,0.3173,0.4224,0.5138,0.5941,0.2598,0.3184,0.4059,0.4235,0.417
INTU,0.5204,0.4352,0.6466,0.542,0.6756,0.4498,0.6577,0.4521,0.6256,0.6149
NKE,0.4768,0.4401,0.5309,0.4487,0.6091,0.3986,0.423,0.4182,0.5532,0.5508
LRCX,0.5879,0.4844,0.4978,0.5774,0.6108,0.5166,0.5454,0.4651,0.5421,0.6463
COST,0.4241,0.4123,0.4293,0.5513,0.6207,0.4279,0.544,0.5004,0.6643,0.5518
NVDA,0.5388,0.3459,0.4672,0.4923,0.4492,0.3363,0.4862,0.3529,0.5348,0.5222
UPS,0.6685,0.4209,0.5414,0.4974,0.5436,0.3912,0.7086,0.4222,0.5301,0.5375
MRK,0.5873,0.4259,0.5452,0.5231,0.5377,0.3864,0.5189,0.4919,0.5668,0.6061
QCOM,0.5977,0.2621,0.4576,0.4245,0.2128,0.301,0.4756,0.4139,0.5199,0.576
ADBE,0.5225,0.44,0.4647,0.431,0.7336,0.3324,0.4412,0.3709,0.5726,0.4059
ORCL,0.5102,0.3549,0.6901,0.6455,0.483,0.3249,0.4788,0.3692,0.5922,0.5501
KO,0.5041,0.4654,0.7041,0.5494,0.6425,0.3829,0.4965,0.4125,0.5026,0.4365
PG,0.6526,0.4499,0.641,0.6322,0.5205,0.4171,0.507,0.4045,0.6197,0.5644
ADP,0.4545,0.4889,0.7219,0.5668,0.5996,0.3847,0.5477,0.3513,0.5934,0.574
ACN,0.6261,0.4799,0.5665,0.6086,0.5245,0.4299,0.4706,0.3871,0.6163,0.5743
BKNG,0.5649,0.3343,0.5472,0.5335,0.526,0.3705,0.5298,0.4389,0.6294,0.666
MMC,0.5983,0.4498,0.6434,0.6485,0.654,0.4548,0.6329,0.4729,0.636,0.608
CSCO,0.5803,0.3316,0.371,0.4808,0.6923,0.4318,0.5635,0.3314,0.5021,0.4231
BA,0.3508,0.4549,0.609,0.4909,0.4326,0.308,0.431,0.473,0.5129,0.5848
MU,0.3715,0.2926,0.2944,0.343,0.6465,0.4247,0.6284,0.4035,0.6364,0.5045
TMO,0.5595,0.5404,0.5584,0.6502,0.5135,0.4588,0.5007,0.4494,0.2574,0.6218
BSX,0.5471,0.3286,0.5508,0.5826,0.3737,0.3079,0.5877,0.4042,0.626,0.4289
PEP,0.5183,0.4221,0.4794,0.6637,0.5313,0.3621,0.6013,0.4761,0.5435,0.6595
META,0.3894,0.3185,0.6185,0.5925,0.4947,0.413,0.4553,0.3453,0.5929,0.6519
MA,0.4588,0.3855,0.4231,0.4713,0.5027,0.3681,0.6382,0.3993,0.5957,0.3045
AMGN,0.5754,0.2825,0.1876,0.4051,0.5384,0.3198,0.4437,0.4375,0.415,0.4442
CRM,0.5519,0.3421,0.5345,0.6167,0.5825,0.4325,0.5666,0.3898,0.5716,0.4352
TMUS,0.6358,0.3999,0.2914,0.51,0.5054,0.3919,0.3681,0.356,0.5298,0.4719
ABBV,0.4726,0.3932,0.5316,0.3367,0.5572,0.3184,0.3381,0.3747,0.3651,0.3658
PLD,0.6071,0.5134,0.4264,0.5295,0.4774,0.4616,0.5706,0.4382,0.4393,0.4508
ADI,0.4112,0.4498,0.4165,0.4142,0.4407,0.4174,0.4238,0.4911,0.4342,0.5418
AAPL,0.5834,0.4562,0.5119,0.4802,0.5656,0.4055,0.4356,0.3833,0.7005,0.5601
PANW,0.5943,0.4193,0.6188,0.5779,0.5155,0.4537,0.4258,0.417,0.5107,0.6848
LOW,0.5067,0.3757,0.6592,0.5724,0.5394,0.4166,0.567,0.3556,0.5525,0.5851
CB,0.5101,0.4604,0.5398,0.5913,0.5428,0.3999,0.4865,0.4478,0.5636,0.4981
LMT,0.4998,0.3724,0.5141,0.4843,0.4188,0.335,0.4661,0.2992,0.4388,0.5519
ABT,0.3298,0.3532,0.4981,0.4982,0.6374,0.2897,0.5404,0.34,0.6326,0.4058
BAC,0.6141,0.3783,0.6033,0.5385,0.6561,0.4386,0.6018,0.4659,0.6297,0.4913
BRK-B,0.4693,0.4419,0.4304,0.5141,0.6381,0.3796,0.6328,0.4051,0.6268,0.5386
NFLX,0.3039,0.3107,0.376,0.418,0.3952,0.305,0.393,0.2619,0.5778,0.4507
PM,0.5245,0.4275,0.5356,0.4426,0.4181,0.3618,0.5035,0.4363,0.6058,0.6788
MSFT,0.4896,0.3809,0.4339,0.4803,0.4964,0.345,0.6221,0.3576,0.5651,0.7203
