ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.567,0.3454,0.4742,0.5478,0.5909,0.5919,0.4891,0.4459,0.5063,0.4206
TXN,0.3188,0.3288,0.4582,0.3426,0.3267,0.306,0.3746,0.35,0.3861,0.4858
SYK,0.4063,0.507,0.4933,0.6715,0.4389,0.4194,0.5466,0.5522,0.3508,0.3882
DHR,0.5997,0.3636,0.708,0.51,0.4842,0.4881,0.4362,0.4825,0.3931,0.5439
LLY,0.5111,0.4112,0.6412,0.3256,0.5618,0.3151,0.8162,0.6759,0.2516,0.7024
TSLA,0.5287,0.1724,0.1996,0.1729,0.2049,0.205,0.2321,0.2371,0.2246,0.2668
INTU,0.5652,0.5182,0.5459,0.5136,0.4467,0.4563,0.4769,0.4091,0.4831,0.5239
NKE,0.3865,0.3909,0.4162,0.4502,0.3969,0.6056,0.513,0.5085,0.3314,0.3331
LRCX,0.571,0.677,0.6807,0.5993,0.5572,0.4501,0.6068,0.4939,0.5925,0.5411
COST,0.6722,0.4168,0.3699,0.3377,0.617,0.2686,0.262,0.6709,0.5428,0.4
NVDA,0.1693,0.1802,0.1683,0.3171,0.1431,0.3294,0.4734,0.2859,0.2596,0.5182
UPS,0.3727,0.6241,0.3312,0.5336,0.4563,0.2866,0.3476,0.5197,0.387,0.3394
MRK,0.59,0.3748,0.4775,0.5232,0.4413,0.3351,0.4997,0.6328,0.4374,0.2684
QCOM,0.282,0.3354,0.4317,0.2879,0.2724,0.2818,0.2503,0.2519,0.4435,0.274
ADBE,0.4212,0.5772,0.4363,0.4584,0.4704,0.5263,0.4241,0.3868,0.4009,0.4158
ORCL,0.4314,0.5411,0.5147,0.5568,0.5602,0.5526,0.5989,0.5397,0.6062,0.5783
KO,0.3328,0.2551,0.3255,0.6019,0.4876,0.3459,0.4352,0.3035,0.4642,0.4835
PG,0.5414,0.3669,0.4086,0.3463,0.4248,0.5271,0.6961,0.5967,0.716,0.5713
ADP,0.5492,0.4251,0.5276,0.4817,0.6033,0.5165,0.4063,0.5807,0.4596,0.4901
ACN,0.8122,0.8584,0.7405,0.7959,0.7699,0.7061,0.7702,0.6971,0.7506,0.6973
BKNG,0.4429,0.4507,0.4079,0.4224,0.4423,0.3011,0.2695,0.3901,0.3634,0.4998
MMC,0.781,0.7102,0.786,0.7884,0.6343,0.5831,0.3659,0.7477,0.5614,0.5709
CSCO,0.5343,0.58,0.4953,0.3819,0.5433,0.5376,0.4927,0.5904,0.6115,0.5272
