ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AAPL,0.385,0.4613,0.42,0.441,0.3847,0.3573,0.3345,0.3484,0.4163,0.3666
ABBV,0.2488,0.2181,0.3014,0.3519,0.2974,0.2213,0.2347,0.3015,0.2776,0.2635
ABT,0.2626,0.2555,0.2847,0.3571,0.3022,0.3369,0.2912,0.2811,0.3232,0.243
ACN,0.4578,0.3775,0.4761,0.4719,0.4498,0.4948,0.4578,0.4514,0.45,0.4964
ADBE,0.4882,0.4595,0.4583,0.4425,0.377,0.4758,0.3778,0.5093,0.4449,0.455
ADI,0.4101,0.386,0.3539,0.3419,0.2844,0.3953,0.2794,0.2335,0.3775,0.3537
ADP,0.3736,0.5196,0.4342,0.4488,0.4875,0.5301,0.4183,0.4063,0.5008,0.4917
AMAT,0.3068,0.391,0.4078,0.3715,0.3414,0.3648,0.3575,0.2817,0.3551,0.404
AMD,0.3694,0.3622,0.4321,0.3852,0.3983,0.3103,0.3517,0.2389,0.3299,0.3753
AMGN,0.2877,0.305,0.2451,0.279,0.2301,0.2253,0.2328,0.2929,0.2988,0.2308
AMZN,0.4482,0.3853,0.4193,0.3778,0.386,0.3993,0.3411,0.4119,0.338,0.427
ANET,0.51,0.5251,0.5309,0.4605,0.4767,0.411,0.4078,0.4476,0.3769,0.4237
BA,0.3561,0.3822,0.3766,0.3826,0.3758,0.3061,0.4091,0.4003,0.3905,0.3032
BAC,0.3842,0.3145,0.3357,0.3005,0.276,0.3916,0.3523,0.3604,0.3686,0.4212
BKNG,0.2888,0.366,0.3225,0.419,0.2976,0.402,0.3608,0.3409,0.2335,0.3469
BMY,0.2516,0.3173,0.2626,0.3493,0.3388,0.3383,0.2987,0.2651,0.3911,0.3441
BRK-B,0.3393,0.2949,0.2834,0.3285,0.3006,0.3413,0.3707,0.3446,0.3348,0.3506
BSX,0.3835,0.357,0.229,0.2872,0.2931,0.4516,0.3583,0.3717,0.3495,0.3377
BX,0.3389,0.3389,0.361,0.3467,0.3097,0.2678,0.4047,0.3671,0.3461,0.3582
CB,0.3505,0.3376,0.3439,0.3273,0.3592,0.3209,0.2898,0.3848,0.3274,0.3478
CMCSA,0.3699,0.4031,0.4376,0.3965,0.3572,0.3901,0.352,0.3124,0.3336,0.3241
COST,0.391,0.3496,0.4164,0.2597,0.3076,0.3616,0.3666,0.3119,0.3878,0.3336
CRM,0.5008,0.5702,0.5012,0.5159,0.5189,0.4982,0.4368,0.4516,0.4563,0.4991
CSCO,0.4756,0.4483,0.4844,0.5655,0.5076,0.4757,0.4332,0.4357,0.4237,0.4025
DHR,0.3389,0.4157,0.4008,0.4534,0.397,0.4143,0.3559,0.3933,0.3129,0.4015
FI,0.5318,0.5001,0.5273,0.5013,0.5851,0.5047,0.4001,0.4268,0.5113,0.5609
GILD,0.3763,0.2916,0.2539,0.2646,0.2739,0.2445,0.2586,0.3156,0.3152,0.2792
GOOGL,0.536,0.5038,0.5189,0.4082,0.4406,0.4199,0.5039,0.3892,0.355,0.3796
GS,0.3981,0.3691,0.4063,0.3312,0.3296,0.3544,0.3524,0.4304,0.3815,0.3957
HD,0.3766,0.3946,0.4309,0.2567,0.3721,0.2938,0.26,0.3371,0.377,0.3464
INTU,0.5525,0.5282,0.5565,0.5796,0.5724,0.5329,0.3463,0.5121,0.4936,0.5341
ISRG,0.3359,0.3711,0.3722,0.4444,0.412,0.3292,0.4139,0.4394,0.4549,0.469
KKR,0.3317,0.2306,0.2983,0.3015,0.3118,0.4396,0.357,0.301,0.3516,0.3569
KO,0.2585,0.3269,0.26,0.301,0.2801,0.317,0.3414,0.3125,0.2837,0.3217
LLY,0.3117,0.2809,0.361,0.3458,0.3114,0.2966,0.2904,0.2285,0.2187,0.3169
LMT,0.3837,0.4764,0.4952,0.5018,0.4105,0.3934,0.4099,0.3471,0.4424,0.4868
