ticker,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SPGI,0.5051,0.3221,0.338,0.4838,0.4794,0.7435,0.4312,0.452,0.5215,0.4635
TXN,0.3158,0.2191,0.4311,0.2125,0.2424,0.2488,0.3316,0.2659,0.2968,0.1991
SYK,0.293,0.4502,0.3815,0.2559,0.318,0.4326,0.4021,0.4616,0.4066,0.4317
DHR,0.4253,0.4983,0.5039,0.2908,0.5839,0.3703,0.4527,0.4442,0.6841,0.5524
LLY,0.1966,0.3637,0.4524,0.6169,0.1966,0.234,0.3918,0.2655,0.2948,0.2525
TSLA,0.1503,0.329,0.1717,0.09,0.2189,0.2112,0.5097,0.2416,0.3008,0.2741
INTU,0.4831,0.3557,0.3704,0.5159,0.6414,0.5168,0.4421,0.5049,0.7006,0.4329
NKE,0.454,0.5247,0.5517,0.5027,0.4649,0.581,0.5298,0.6235,0.5314,0.5043
LRCX,0.2897,0.3151,0.3199,0.3277,0.6132,0.3596,0.4274,0.378,0.3301,0.6649
COST,0.2895,0.3323,0.2745,0.3037,0.3186,0.366,0.3838,0.3546,0.3572,0.5754
NVDA,0.2588,0.3701,0.3095,0.3718,0.4319,0.316,0.3655,0.3152,0.4568,0.3437
UPS,0.3463,0.5754,0.4299,0.4076,0.3396,0.3236,0.4112,0.4299,0.3587,0.3875
MRK,0.2356,0.3066,0.506,0.4234,0.606,0.258,0.3256,0.2993,0.2528,0.3258
QCOM,0.1298,0.2234,0.194,0.1531,0.1455,0.2998,0.1707,0.1806,0.2349,0.2543
ADBE,0.5858,0.3097,0.2679,0.2442,0.3105,0.2644,0.3966,0.4099,0.3914,0.5165
ORCL,0.2897,0.2497,0.2324,0.4966,0.3239,0.4135,0.3755,0.4591,0.3069,0.2775
KO,0.3188,0.4928,0.4105,0.5076,0.3737,0.3718,0.4402,0.4489,0.5868,0.4188
PG,0.6978,0.5594,0.4142,0.5154,0.3135,0.5535,0.6312,0.6084,0.627,0.6782
ADP,0.4209,0.3775,0.5562,0.4752,0.4863,0.3133,0.4392,0.4541,0.3966,0.6339
ACN,0.4056,0.3997,0.4088,0.3851,0.759,0.3718,0.3869,0.3675,0.365,0.8046
BKNG,0.3536,0.3645,0.3447,0.3361,0.3478,0.3873,0.3605,0.3441,0.2834,0.2961
MMC,0.689,0.6254,0.6685,0.6642,0.6004,0.6967,0.4341,0.7068,0.5656,0.6645
CSCO,0.3059,0.3875,0.3213,0.294,0.7425,0.3317,0.5491,0.5527,0.4278,0.3889
BA,0.3732,0.3798,0.3775,0.4689,0.323,0.322,0.3982,0.3991,0.4064,0.4245
MU,0.2946,0.2155,0.2943,0.3542,0.145,0.2256,0.388,0.2002,0.2463,0.4517
TMO,0.425,0.4513,0.4629,0.4191,0.3511,0.2636,0.3673,0.3166,0.2244,0.4548
BSX,0.1158,0.2336,0.4033,0.4927,0.5744,0.4718,0.3963,0.5468,0.3947,0.3221
PEP,0.5095,0.5809,0.5277,0.4403,0.4088,0.5162,0.3654,0.4929,0.4485,0.5287
META,0.2757,0.1788,0.4216,0.2111,0.4031,0.3117,0.3525,0.2752,0.3186,0.3615
MA,0.3652,0.321,0.3197,0.4065,0.5514,0.3536,0.3592,0.3771,0.3847,0.5071
AMGN,0.1898,0.1505,0.1685,0.4255,0.3509,0.3903,0.2986,0.2849,0.2527,0.3224
CRM,0.3093,0.3181,0.3523,0.3051,0.396,0.4079,0.4349,0.3482,0.572,0.572
TMUS,0.2091,0.1848,0.4179,0.5149,0.3057,0.3363,0.2832,0.2612,0.2356,0.5136
ABBV,0.2888,0.1909,0.4632,0.5123,0.4291,0.4552,0.354,0.2622,0.2824,0.2351
PLD,0.3345,0.3166,0.5169,0.2893,0.3057,0.4258,0.3651,0.5344,0.2843,0.321
ADI,0.4601,0.5102,0.4131,0.309,0.5693,0.5325,0.4027,0.3864,0.3096,0.4387
AAPL,0.3417,0.3869,0.3802,0.3556,0.3673,0.3927,0.3897,0.3978,0.3544,0.4162
PANW,0.3578,0.3227,0.327,0.3144,0.2777,0.3581,0.3103,0.3462,0.3049,0.3013
