Input,Model,Adj. R,Coef,P
4o_Item7_report,IT->OR,0.334,0.3700,0.000***
4o_Item7_report,IT_growth->OR_growth,0.022,0.1589,0.000***
4o_Item7_report,IT->Revenues,0.368,0.1288,0.000***
4o_Item7_report,IT->Net_Income,0.258,0.0611,0.088
4o_Item7_filter,IT->OR,0.334,0.3700,0.000***
4o_Item7_filter,IT_growth->OR_growth,0.022,0.1589,0.000***
4o_Item7_filter,IT->Revenues,0.368,0.1288,0.000***
4o_Item7_filter,IT->Net_Income,0.258,0.0611,0.088
4o_Item17_report,IT->OR,0.334,0.3700,0.000***
4o_Item17_report,IT_growth->OR_growth,0.022,0.1589,0.000***
4o_Item17_report,IT->Revenues,0.368,0.1288,0.000***
4o_Item17_report,IT->Net_Income,0.258,0.0611,0.088
4o_Item17_filter,IT->OR,0.334,0.3700,0.000***
4o_Item17_filter,IT_growth->OR_growth,0.022,0.1589,0.000***
4o_Item17_filter,IT->Revenues,0.368,0.1288,0.000***
4o_Item17_filter,IT->Net_Income,0.258,0.0611,0.088
o4_Item7_report,IT->OR,0.131,0.2533,0.000***
o4_Item7_report,IT_growth->OR_growth,-0.014,-0.0357,0.375
o4_Item7_report,IT->Revenues,0.353,0.0362,0.313
o4_Item7_report,IT->Net_Income,0.256,-0.0389,0.313
o4_Item7_filter,IT->OR,0.131,0.2533,0.000***
o4_Item7_filter,IT_growth->OR_growth,-0.014,-0.0357,0.375
o4_Item7_filter,IT->Revenues,0.353,0.0362,0.313
o4_Item7_filter,IT->Net_Income,0.256,-0.0389,0.313
o4_Item17_report,IT->OR,0.131,0.2533,0.000***
o4_Item17_report,IT_growth->OR_growth,-0.014,-0.0357,0.375
o4_Item17_report,IT->Revenues,0.353,0.0362,0.313
o4_Item17_report,IT->Net_Income,0.256,-0.0389,0.313
o4_Item17_filter,IT->OR,0.131,0.2533,0.000***
o4_Item17_filter,IT_growth->OR_growth,-0.014,-0.0357,0.375
o4_Item17_filter,IT->Revenues,0.353,0.0362,0.313
o4_Item17_filter,IT->Net_Income,0.256,-0.0389,0.313
