Input,Model,Adj. R,Coef,P
4o_Item7_report,OR_growth~IT_growth_lag1,-0.001,-0.0367,0.541
4o_Item7_report,OR_growth~IT_growth_lag2,0.013,-0.1752,0.006**
4o_Item7_report,OR_growth~IT_growth_lag3,0.035,0.2575,0.000***
4o_Item7_report,OR_growth~IT_growth_lag4,-0.0,0.0770,0.342
4o_Item7_report,OR_growth~IT_growth_lag5,0.001,-0.1069,0.241
4o_Item7_filter,OR_growth~IT_growth_lag1,-0.001,-0.0367,0.541
4o_Item7_filter,OR_growth~IT_growth_lag2,0.013,-0.1752,0.006**
4o_Item7_filter,OR_growth~IT_growth_lag3,0.035,0.2575,0.000***
4o_Item7_filter,OR_growth~IT_growth_lag4,-0.0,0.0770,0.342
4o_Item7_filter,OR_growth~IT_growth_lag5,0.001,-0.1069,0.241
4o_Item17_report,OR_growth~IT_growth_lag1,-0.001,-0.0367,0.541
4o_Item17_report,OR_growth~IT_growth_lag2,0.013,-0.1752,0.006**
4o_Item17_report,OR_growth~IT_growth_lag3,0.035,0.2575,0.000***
4o_Item17_report,OR_growth~IT_growth_lag4,-0.0,0.0770,0.342
4o_Item17_report,OR_growth~IT_growth_lag5,0.001,-0.1069,0.241
4o_Item17_filter,OR_growth~IT_growth_lag1,-0.001,-0.0367,0.541
4o_Item17_filter,OR_growth~IT_growth_lag2,0.013,-0.1752,0.006**
4o_Item17_filter,OR_growth~IT_growth_lag3,0.035,0.2575,0.000***
4o_Item17_filter,OR_growth~IT_growth_lag4,-0.0,0.0770,0.342
4o_Item17_filter,OR_growth~IT_growth_lag5,0.001,-0.1069,0.241
o4_Item7_report,OR_growth~IT_growth_lag1,0.001,-0.0719,0.225
o4_Item7_report,OR_growth~IT_growth_lag2,0.001,0.0699,0.256
o4_Item7_report,OR_growth~IT_growth_lag3,-0.001,-0.0566,0.401
o4_Item7_report,OR_growth~IT_growth_lag4,0.005,0.1204,0.105
o4_Item7_report,OR_growth~IT_growth_lag5,-0.003,-0.0370,0.653
o4_Item7_filter,OR_growth~IT_growth_lag1,0.001,-0.0719,0.225
o4_Item7_filter,OR_growth~IT_growth_lag2,0.001,0.0699,0.256
o4_Item7_filter,OR_growth~IT_growth_lag3,-0.001,-0.0566,0.401
o4_Item7_filter,OR_growth~IT_growth_lag4,0.005,0.1204,0.105
o4_Item7_filter,OR_growth~IT_growth_lag5,-0.003,-0.0370,0.653
o4_Item17_report,OR_growth~IT_growth_lag1,0.001,-0.0719,0.225
o4_Item17_report,OR_growth~IT_growth_lag2,0.001,0.0699,0.256
o4_Item17_report,OR_growth~IT_growth_lag3,-0.001,-0.0566,0.401
o4_Item17_report,OR_growth~IT_growth_lag4,0.005,0.1204,0.105
o4_Item17_report,OR_growth~IT_growth_lag5,-0.003,-0.0370,0.653
o4_Item17_filter,OR_growth~IT_growth_lag1,0.001,-0.0719,0.225
o4_Item17_filter,OR_growth~IT_growth_lag2,0.001,0.0699,0.256
o4_Item17_filter,OR_growth~IT_growth_lag3,-0.001,-0.0566,0.401
o4_Item17_filter,OR_growth~IT_growth_lag4,0.005,0.1204,0.105
o4_Item17_filter,OR_growth~IT_growth_lag5,-0.003,-0.0370,0.653
